"stateroute","mat.mean","elev.mean","map.mean","ndvi.mean","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","aou","occ","presence","ALPHA.CODE","latitude","longitude","sp_success","sp_fail","pred_glm_pr","pred_glm_occ","pred_gam_pr","pred_gam_occ","pred_rf_occ","pred_rf_pr","max_pred_pres"
4005,14.3819444444444,1651.54166666667,57.4444444444444,0.852997523847769,14.296918767507,127.285714285714,33.8823529411765,7821.36134453782,209.15406162465,-160.949579831933,370.103641456583,17.3557422969188,49.9243697478992,113.389355742297,-84.546218487395,695.344537815126,82.7647058823529,42.1932773109244,20.3501400560224,216.254901960784,142.162464985994,181.490196078431,181.352941176471,6450,0,0,"NAWA",49.6325,-114.58692,0,15,0.453119120911968,0.0428312021143419,0.186203884640264,0.0185973541079324,0.0225593008739076,0.196647509578545,0.357644647359848
11003,20.5108695652174,1582.69565217391,60.2826086956522,0.863141595918657,19.2686980609418,128.218836565097,34.3490304709141,7794.9944598338,218.185595567867,-149.689750692521,367.875346260388,-30.3628808864266,99.6398891966759,119.058171745152,-79.196675900277,730.329639889197,82.8864265927978,43.7091412742382,19.9722991689751,226.819944598338,145.869806094183,172.623268698061,210.448753462604,6450,0,0,"NAWA",49.29379,-114.73244,0,15,0.389963075186447,0.0371247230808445,0.183810069458821,0.0208102368043112,0.0182627378759975,0.165168539325843,0.349136829376221
11004,32.3560606060606,1324.04545454545,57.9469696969697,0.85251094123268,32.3916666666667,121.475,32.5138888888889,8150.07777777778,232.419444444444,-135.563888888889,367.983333333333,-61.4777777777778,103.683333333333,136.6,-72.0833333333333,698.141666666667,81.4527777777778,39.8333333333333,23.4472222222222,232.347222222222,131.027777777778,155.619444444444,215.652777777778,6450,0,0,"NAWA",49.46161,-115.51624,0,15,0.322967413219524,0.0319609840945735,0.230183946108534,0.0230051690209163,0.0173033033033032,0.202199661590525,0.444303452968597
11005,27.3522727272727,1485.77272727273,65.3409090909091,0.875465166958645,27.1376404494382,106.783707865169,31.2303370786517,7641.65730337079,218.581460674157,-117.674157303371,336.255617977528,-60.6741573033708,122.230337078652,126.165730337079,-67.4157303370787,784.182584269663,98.876404494382,40.9157303370786,28.3988764044944,284.016853932584,135.286516853933,154.595505617978,260.151685393258,6450,0,0,"NAWA",49.2998,-116.66111,0,15,0.256335974662556,0.0281680570504276,0.227732808505595,0.0252769753162599,0.0259633569739953,0.241282051282052,0.381499469280243
11006,38.8958333333333,1325.5,66.4027777777778,0.911600354722294,38.8941504178273,104.089136490251,30.6072423398329,7739.07799442897,231.100278551532,-103.136490250696,334.236768802228,-50.1114206128134,135.061281337047,139.228412256267,-56.8077994428969,797.378830083566,102.941504178273,40.5208913649025,30.2339832869081,293.428969359331,129.988857938719,152.506963788301,269.208913649025,6450,0,0,"NAWA",49.14681,-117.25726,0,15,0.217327652793344,0.0255834667378374,0.257978949081343,0.0271821761346391,0.0233882783882784,0.291531531531532,0.462792217731476
11007,26.8560606060606,1453.5,56.9734848484848,0.862445412626589,27.5785123966942,97.4820936639118,29.7823691460055,7578.19008264463,211.6391184573,-110.385674931129,322.02479338843,-59.4269972451791,40.8484848484849,125.961432506887,-66.5371900826446,684.269972451791,83.2699724517906,43.4297520661157,21.6391184573003,226.820936639118,137.498622589532,163.374655647383,209.900826446281,6450,0,0,"NAWA",49.77716,-118.14029,0,15,0.212100131015191,0.0244224740464279,0.159183756057178,0.0188682067080959,0.0204066437571592,0.200920810313076,0.323611527681351
11008,36.2878787878788,1317.31818181818,34.0151515151515,0.844742652329749,35.6918767507003,110.249299719888,32.0280112044818,7781.09243697479,226.619047619048,-112.176470588235,338.795518207283,50.2633053221289,-10.0448179271709,135.862745098039,-62.8991596638655,406.361344537815,45.0504201680672,24.7254901960784,19.9327731092437,119.806722689076,80.0588235294118,114.316526610644,108.280112044818,6450,0,0,"NAWA",49.44594,-119.07822,0,15,0.307068511175361,0.0318248227818194,0.310026778707548,0.0349895325487373,0.0105492424242424,0.0835924006908475,0.448947161436081
11009,21.2465277777778,1541.875,50.4270833333333,0.843435948630685,20.0983146067416,109.974719101124,33.1292134831461,7453.20786516854,201.598314606742,-125.292134831461,326.890449438202,-67.3876404494382,82.5449438202247,115.075842696629,-74.752808988764,614.502808988764,88.685393258427,31.7331460674157,35.2443820224719,246.609550561798,102.806179775281,109.752808988764,226.084269662921,6450,0,0,"NAWA",49.15319,-120.59727,0,15,0.376221530198178,0.0384607814550172,0.364926527713387,0.0327455436355351,0.0454431216931217,0.509537037037037,0.495075106620789
11016,7.33333333333333,1639.58333333333,55.7986111111111,0.787579259259259,8.43055555555556,113.969444444444,31.0166666666667,7993.45277777778,201.713888888889,-159.708333333333,361.422222222222,-54.2194444444444,8.87222222222222,109.652777777778,-92.9305555555556,667.725,75.0361111111111,40.9027777777778,19.4833333333333,203.119444444444,138.305555555556,170.069444444444,191.802777777778,6450,0,0,"NAWA",50.23927,-115.87449,0,15,0.377622155720981,0.0357920688629307,0.149428613190214,0.014367324787564,0.0136436995654872,0.118190476190477,0.315028041601181
11017,-4.42708333333333,1777.45833333333,59.5243055555556,0.761342028619529,-2.53243243243243,108.983783783784,30.3378378378378,7872.92162162162,187.548648648649,-165.502702702703,353.051351351351,-51.5864864864865,-40.5567567567568,97.4783783783784,-102.289189189189,713.637837837838,81.727027027027,42.6540540540541,19.8621621621622,223.305405405405,141.086486486486,188.537837837838,208.486486486486,6450,0,0,"NAWA",50.92435,-116.47839,0,15,0.374906607217178,0.0356205673927518,0.16138250895105,0.0135185210296313,0.0207470182046453,0.192750000000001,0.280494183301926
11018,18,1553.68181818182,70.4128787878788,0.852792131670172,16.3111111111111,95.7111111111111,29.4333333333333,7451.58055555556,197.780555555556,-122.061111111111,319.841666666667,-68.7333333333333,102.025,113.072222222222,-75.8333333333333,846.1,109.325,51.3361111111111,27.0611111111111,303.802777777778,162.875,180.047222222222,284.202777777778,6450,0.0666666666666667,1,"NAWA",50.03801,-117.20573,1,14,0.245675829994976,0.0268762217589936,0.161425019664926,0.0165413051127034,0.0296807857581338,0.339492753623188,0.239335104823112
11019,36.0869565217391,1150.34782608696,56.4130434782609,0.881548422307833,36.827397260274,99.6931506849315,29.5095890410959,7823.0602739726,223.26301369863,-108.471232876712,331.734246575342,-54.9041095890411,19.3479452054795,137.797260273973,-62.7671232876712,674.780821917808,84.6876712328767,39.3753424657534,22.0821917808219,225.186301369863,130.920547945205,162.446575342466,211.646575342466,6450,0.133333333333333,1,"NAWA",50.44063,-118.74332,2,13,0.292859398565974,0.0308872645330728,0.258873067978681,0.0273701531173138,0.0365626984126984,0.348581560283688,0.47181299328804
11020,47.1984126984127,920.047619047619,46.6269841269841,0.879706949934124,47.508152173913,105.940217391304,30.3777173913043,8043.02173913043,237.801630434783,-105.5,343.301630434783,-31.054347826087,16.9945652173913,150.586956521739,-56.3260869565217,557.866847826087,65.8858695652174,31.5054347826087,20.1440217391304,174.864130434783,104.923913043478,146.190217391304,162.752717391304,6450,0.0666666666666667,1,"NAWA",50.67375,-119.32095,1,14,0.354393964561085,0.035492092670681,0.403042721485463,0.0373459628590606,0.0619423109745691,0.750825082508251,0.557199239730835
11021,40.286231884058,1191.60869565217,31.6847826086957,0.812962760988983,40.1092896174863,107.040983606557,32.0710382513661,7714.74316939891,220.357923497268,-108.22131147541,328.579234972678,13.4972677595628,1.32513661202186,138.874316939891,-59.0437158469945,379.92349726776,43.0054644808743,20.4617486338798,22.8497267759563,121.879781420765,68.3579234972678,102.926229508197,110.101092896175,6450,0,0,"NAWA",50.28285,-120.69166,0,15,0.365389351844382,0.0364539813659478,0.406070698974412,0.0433140514502927,0.0324582613701785,0.262566844919786,0.5007444024086
11022,40.6284722222222,1188.70833333333,43.7152777777778,0.867837164642479,40.7823691460055,103.501377410468,31.9972451790634,7483.69972451791,216.00826446281,-102.501377410468,318.509641873278,-48.7107438016529,60.3829201101928,136.63085399449,-54.7933884297521,519.595041322314,68.8347107438017,28.6198347107438,29.7823691460055,195.242424242424,93.1873278236915,104.347107438017,179.162534435262,6450,0.0666666666666667,1,"NAWA",50.02257,-121.09934,1,14,0.367428350611575,0.0375377096112594,0.397146342964186,0.040250571874969,0.0506979341150196,0.466055846422339,0.531881272792816
11023,22.4528985507246,1460.86956521739,42.1014492753623,0.768044372759857,21.4441416893733,104.961852861035,31.1798365122616,7426.10626702997,196.509536784741,-134.945504087193,331.455040871935,-64.4986376021798,2.13079019073569,116.408719346049,-71.1117166212534,514.204359673025,63.6049046321526,27.4305177111717,25.58310626703,176.463215258856,97.141689373297,124.471389645777,166.193460490463,6450,0,0,"NAWA",50.7898,-122.22407,0,15,0.490172234807709,0.0463231333002841,0.398956076064362,0.0344179225000598,0.0373913043478261,0.383793738489871,0.446798533201218
11029,-1.3015873015873,1685.33333333333,67.5277777777778,0.757329092366259,-3.63002680965147,104.474530831099,29.597855227882,7957.33512064343,184.369973190349,-162.753351206434,347.123324396783,-70.8981233243968,-21.3297587131367,97.8310991957105,-105.552278820375,814.611260053619,97.3056300268097,46.9142091152815,22.6139410187668,269.798927613941,153.772117962466,204.879356568365,255.179624664879,6450,0,0,"NAWA",51.32189,-116.98707,0,15,0.355405850452753,0.0341971105380655,0.17244717194261,0.0134163747436984,0.0221663563004345,0.24172218110042,0.273530066013336
11030,-2.26388888888889,1710.95833333333,74.2673611111111,0.756596210792993,-2.36507936507937,101.02380952381,29.1666666666667,7981.32275132275,183.825396825397,-156.534391534392,340.359788359788,-93.7592592592593,-6.1957671957672,99.5873015873016,-105.092592592593,886.5,109.664021164021,48.484126984127,24.7698412698413,304.164021164021,162.608465608466,211.796296296296,290.15873015873,6450,0,0,"NAWA",51.50424,-117.41691,0,15,0.286878700527457,0.0293619225662704,0.167849233093632,0.0133067973694782,0.0262244333886125,0.283512802105767,0.251127481460571
11031,8.64583333333333,1541.125,72.1145833333333,0.810479614776066,10.096,98.2293333333333,29.0106666666667,7926.57333333333,193.216,-140.125333333333,333.341333333333,-84.9973333333333,6.88266666666667,111.6,-91.6426666666667,859.168,104.722666666667,45.9946666666667,22.6906666666667,288.005333333333,157.981333333333,204.32,271.56,6450,0,0,"NAWA",51.67589,-118.63605,0,15,0.28332041439671,0.0299211333785041,0.177279793797699,0.0158049240772099,0.0761056105610561,0.68736559139785,0.308872818946838
11032,39.5036231884058,1032.65217391304,51.5724637681159,0.891401098425878,39.8337874659401,104.869209809264,30.1716621253406,8009.88010899183,228.389645776567,-113.482288828338,341.871934604905,-51.6757493188011,15.7465940054496,142.493188010899,-63.2888283378747,627.198910081744,73.5068119891008,34.7983651226158,19.7983651226158,197.326975476839,118.198910081744,162.242506811989,183.91553133515,6450,0,0,"NAWA",51.03674,-119.39066,0,15,0.36450247080776,0.0368111533680792,0.326908149784144,0.0323363650545074,0.0662102102102102,0.652072538860105,0.531343400478363
