"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","AUC_me_pres"
5140,0.115370012496063,0.613666845493562,0.280499834207782,0.671455545737608,0.108753562807854,0.683766988555079,0.275229869214274,0.751191302701338,0.117435771691151,0.641295600858369,0.283906022732057,0.689269860304637,0.766354771522343
5170,0.225512793416081,0.511658815612382,0.333902892084769,0.660180692309509,0.213023237372775,0.58514468371467,0.318138631994358,0.764015312507379,0.225949094578623,0.565376850605653,0.330744374137819,0.711016268801209,0.765476316970083
5180,0.217880302473098,0.625708884688091,0.34009785333937,0.693436252888049,0.179811624120192,0.672377126654064,0.30767895592973,0.832671707624449,0.21874168409204,0.674740075614367,0.340126974882903,0.730476790590212,0.773713505566058
5190,0.306761828512706,0.538053717399766,0.407173633263648,0.594896699617895,0.298025531522261,0.499470611132736,0.393632297807427,0.67271579305966,0.297865454687787,0.649279875437914,0.389213575176822,0.711294772006505,0.660554938944596
5210,0.130669334555183,0.53771556910243,0.252795035607037,0.745161225635678,0.122736498308837,0.576425764017005,0.249939705647589,0.785660142776931,0.131588610059053,0.601187134033849,0.255704876882109,0.762829870859068,0.790857864762974
5290,0.337605533965631,0.577990404536038,0.378860636377168,0.622814344907083,0.328891041583956,0.587367789772108,0.371382803423043,0.68683602816331,0.330281839761613,0.507894449896413,0.370330644873843,0.72022470870913,0.693918718943253
5300,0.211308236692446,0.583959369378902,0.326491314100042,0.638821288752513,0.184978245342209,0.583112898106021,0.307792749258774,0.786636334779388,0.217397441655913,0.481430536451169,0.328799769160091,0.68674611152259,0.758689556660671
5330,0.182234039719346,0.534594594594595,0.304360992818143,0.668573506241668,0.175312331266404,0.525702172760996,0.299448938865628,0.734298872863895,0.181567208715572,0.572093269740329,0.308482424034385,0.698308083868622,0.742828748030542
5400,0.255884722197285,0.544441892512632,0.33269460737674,0.64199088960343,0.247528543666256,0.502363726841219,0.326540150126861,0.715224544480171,0.249415295639363,0.557026106262441,0.327720119432128,0.738034833869239,0.700373526259378
5420,0.267134993649612,0.566079135386066,0.331757437100371,0.64104469857954,0.257017067119529,0.527708265332028,0.322434297155572,0.729345844198502,0.260561019840378,0.647871105791898,0.318899055881093,0.74698512505279,0.738051945004927
5460,0.234603621642692,0.576638457150448,0.369684020995628,0.585775732505811,0.225059057805265,0.538348532089301,0.36292614331136,0.653597036495054,0.226814824559266,0.614154769439951,0.359966701547568,0.699856873750453,0.670624567438885
5470,0.0921578655258979,0.595897121861604,0.271398543768203,0.633716143011918,0.0744312335977051,0.588977342314758,0.255283756236996,0.75783315276273,0.0943050413687933,0.568003674219228,0.272423360756549,0.6565872156013,0.702925243770314
5480,0.147424376336998,0.596028154851684,0.2641113297349,0.741013071895425,0.115889324213178,0.697083961789844,0.25521150030967,0.820836359235052,0.144265576204649,0.69544997486174,0.258478482863487,0.737851004599371,0.816660614863229
5520,0.244596085875629,0.553130958506099,0.35229737005849,0.602898445860261,0.235204290735303,0.574574014103689,0.346612747711869,0.668472403642194,0.23957210649174,0.559267273992918,0.343555859008483,0.712334675100633,0.680595912243087
