"Aou","stateroute","occ","presence","latitude","longitude","sp_success","sp_fail","mat.mean","elev.mean","map.mean","ndvi.mean","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","predpr","predocc"
7010,3021,0.0666666666666667,1,58.4423687,-134.7660128,1,14,24.9166666666667,529.62962962963,110.91975308642,0.630548786129459,23.4391534391534,76.1746031746032,28.6137566137566,6295.7671957672,160.738095238095,-100.775132275132,261.513227513227,43.2486772486772,52.9179894179894,105.063492063492,-55.478835978836,1335.15343915344,194.275132275132,64.4708994708995,33.2169312169312,489.582010582011,213.373015873016,293.275132275132,330.531746031746,1,0.179107662154184
7010,3117,0.133333333333333,1,61.58697,-149.4276,1.99999999999999,13,0.0807291666666667,482.5,42.40625,0.822850190689441,0.842105263157895,92.0021052631579,27.2063157894737,8663.92842105263,176.837894736842,-155.341052631579,332.178947368421,99.1157894736842,-12.5347368421053,114.256842105263,-103.816842105263,503.690526315789,75.2842105263158,19.9031578947368,44.6189473684211,210.873684210526,67.9473684210526,179.987368421053,96.5621052631579,1,0.165779046536983
7010,3321,0.0666666666666667,1,59.4178465,-139.0217497,1,14,22.2066666666667,323.44,200.623333333333,0.645931994079889,21.3032069970845,83.0758017492711,30.9533527696793,6421.21865889213,155.411078717201,-108.98833819242,264.399416909621,27.9504373177843,71.9562682215743,103.909620991254,-59.1137026239067,2377.34110787172,340.985422740525,110.711370262391,32.2215743440233,869.927113702624,391.594752186589,432.247813411079,610.594752186589,1,0.121470117068548
7010,11003,0.2,1,49.29379,-114.73244,3,12,20.5108695652174,1582.69565217391,60.2826086956522,0.863141595918657,19.2686980609418,128.218836565097,34.3490304709141,7794.9944598338,218.185595567867,-149.689750692521,367.875346260388,-30.3628808864266,99.6398891966759,119.058171745152,-79.196675900277,730.329639889197,82.8864265927978,43.7091412742382,19.9722991689751,226.819944598338,145.869806094183,172.623268698061,210.448753462604,1,0.203194138650064
7010,11126,0.0666666666666667,1,50.02638,-125.24111,1,14,80.2430555555556,317.208333333333,133.583333333333,0.791201512638787,79.8286604361371,77.791277258567,34.8629283489097,5025.30218068536,207.305295950156,-12.6448598130841,219.95015576324,25.5171339563863,146.775700934579,146.92523364486,20.1090342679128,1633.19003115265,242.682242990654,53.8722741433022,50.2616822429907,690.629283489097,181.747663551402,183.853582554517,615.809968847352,1,0.162565215312154
7010,11208,0.0666666666666667,1,49.59762,-119.72963,1,14,39.8674242424242,1226.5,27.8977272727273,0.805982584884995,40.375,112.519444444444,32.3861111111111,7848.46388888889,231.430555555556,-110.644444444444,342.075,103.138888888889,-4.73055555555556,140.902777777778,-60.3861111111111,334.411111111111,36.4611111111111,18.6166666666667,21.4638888888889,100.255555555556,62.6972222222222,99.0555555555556,87.4555555555555,1,0.241855733272762
7010,11223,0.0666666666666667,1,50.14379,-122.95793,1,14,28.7386363636364,1338.36363636364,79.9886363636364,0.76588554258567,29.4426229508197,96.1475409836066,31.379781420765,6658.29781420765,194.300546448087,-107.688524590164,301.989071038251,-46.9180327868852,114.55737704918,115.153005464481,-51.8989071038251,966.819672131148,141.743169398907,42.5573770491803,42.5628415300546,401.928961748634,139.355191256831,140.428961748634,366.407103825137,1,0.208730859685842
7010,11402,0.266666666666667,1,48.82305,-124.05783,4.00000000000001,11,76.8368055555556,451.541666666667,146.114583333333,0.857685223708173,76.7094017094017,84.6153846153846,37.3988603988604,4898.04843304843,208.960113960114,-14.3817663817664,223.34188034188,24.1908831908832,140.737891737892,141.982905982906,19.4786324786325,1746.2792022792,291.116809116809,36.9287749287749,62.7492877492878,820.458689458689,129.495726495727,146.196581196581,757.729344729345,1,0.14802471403956
7010,14018,0.333333333333333,1,38.3432387,-119.8362579,4.99999999999999,10,55.8041666666667,2251.3,77.85,0.66747676056338,54.9767441860465,137.428571428571,43.9601328903655,6131.08305647841,232.528239202658,-76.3887043189369,308.916943521595,-8.25249169435216,136.691029900332,137.528239202658,-14.4019933554817,930.372093023256,159.009966777409,12.5348837209302,69.0996677740864,437.810631229236,49.8205980066445,55.5647840531561,432.694352159468,1,0.30700088650707
7010,14082,0.8,1,38.7754607,-119.8237379,12,3,66.6527777777778,2039.88888888889,55.1435185185185,0.632213333333333,63.1523178807947,150.549668874172,44.3940397350993,6484.01655629139,253.973509933775,-80.8543046357616,334.827814569536,-6.05960264900662,149.013245033113,150.198675496689,-12.2384105960265,720.854304635762,121.092715231788,12.4966887417219,61.841059602649,332.496688741722,49.1953642384106,52.046357615894,328.543046357616,1,0.329774002935002
7010,14156,0.0666666666666667,1,37.7472667,-119.8035199,1,14,91.7666666666667,1641.2,74.1416666666667,0.728114666666667,94.2053872053872,143.511784511784,45.003367003367,6179.52188552189,278.057239057239,-37.1279461279461,315.185185185185,24.8619528619529,176.181818181818,177.050505050505,23.6902356902357,902.683501683502,160.424242424242,6.43097643097643,76.8013468013468,442.050505050505,28.7441077441077,35.2222222222222,440.343434343434,1,0.296014734804102
