"AOU","CommonName","CRC_SCI_NAME","migclass","n_routes","rmse_occ_15yr","rmse_pres_15yr","rmse_gam_15yr","rmse_gam_pres_15yr","rmse_rf_15yr","rmse_rf_pres_15yr","rmse_me_pres_15yr","rmse_occ_5yr","rmse_pres_5yr","rmse_gam_5yr","rmse_gam_pres_5yr","rmse_rf_5yr","rmse_rf_pres_5yr","rmse_me_pres_5yr","sensitivity_glmocc.x","specificity_glmocc.x","pp_glmocc.x","np_glmocc.x","sensitivity_glmpr.x","specificity_glmpr.x","pp_glmpr.x","np_glmpr.x","sensitivity_gamocc.x","specificity_gamocc.x","pp_gamocc.x","np_gamocc.x","sensitivity_gampr.x","specificity_gampr.x","pp_gampr.x","np_gampr.x","sensitivity_rfocc.x","specificity_rfocc.x","pp_rfocc.x","np_rfocc.x","sensitivity_rfpr.x","specificity_rfpr.x","pp_rfpr.x","np_rfpr.x","sensitivity_max.x","specificity_max.x","pp_max.x","np_max.x","sensitivity_glmocc.y","specificity_glmocc.y","pp_glmocc.y","np_glmocc.y","sensitivity_glmpr.y","specificity_glmpr.y","pp_glmpr.y","np_glmpr.y","sensitivity_gamocc.y","specificity_gamocc.y","pp_gamocc.y","np_gamocc.y","sensitivity_gampr.y","specificity_gampr.y","pp_gampr.y","np_gampr.y","sensitivity_rfocc.y","specificity_rfocc.y","pp_rfocc.y","np_rfocc.y","sensitivity_rfpr.y","specificity_rfpr.y","pp_rfpr.y","np_rfpr.y","sensitivity_max.y","specificity_max.y","pp_max.y","np_max.y"
2881,"Gray Partridge","Perdix perdix","resid",1147,0.13912407189151,0.390684465617189,0.0690574108864638,0.307902506286835,0.131592521455997,0.389936990633885,0.357233677844515,NA,NA,NA,NA,NA,NA,NA,27.2727272727273,93.4065934065934,20,95.5056179775281,90.9090909090909,62.6373626373626,12.8205128205128,99.1304347826087,18.1818181818182,98.3516483516484,40,95.2127659574468,90.9090909090909,69.2307692307692,15.1515151515152,99.2125984251969,27.2727272727273,95.0549450549451,25,95.5801104972376,81.8181818181818,67.032967032967,13.0434782608696,98.3870967741936,90.9090909090909,20.3296703296703,6.45161290322581,97.3684210526316,33.8235294117647,91.2,67.6470588235294,71.6981132075472,77.9411764705882,77.6,65.4320987654321,86.6071428571429,20.5882352941176,96.8,77.7777777777778,69.1428571428571,72.0588235294118,82.4,69.0140845070423,84.4262295081967,50,88.8,70.8333333333333,76.551724137931,76.4705882352941,81.6,69.3333333333333,86.4406779661017,85.2941176470588,72.8,63.0434782608696,90.0990099009901
2890,"Northern Bobwhite","Colinus virginianus","resid",2200,0.261741332139408,0.317791796248293,0.194109764139095,0.262749135697236,0.215766057608523,0.290200396021193,0.393432312944258,0.272937604322149,0.334945089145425,0.209552194756071,0.280536836305457,0.23166655486232,0.306395446997196,0.392793842936082,90.4306220095694,62.015503875969,65.8536585365854,88.8888888888889,99.5215311004785,10.8527131782946,47.4885844748858,96.551724137931,93.3014354066986,63.5658914728682,67.4740484429066,92.1348314606742,99.0430622009569,21.3178294573643,50.4878048780488,96.4912280701754,93.7799043062201,62.7906976744186,67.1232876712329,92.5714285714286,99.5215311004785,21.7054263565891,50.7317073170732,98.2456140350877,0,100,NA,55.2462526766595,72.1518987341772,90.2777777777778,97.6027397260274,37.1428571428571,96.7088607594937,20.8333333333333,87.0159453302961,53.5714285714286,71.3924050632911,88.8888888888889,97.2413793103448,36.1581920903955,94.1772151898734,52.7777777777778,91.6256157635468,62.2950819672131,72.6582278481013,94.4444444444444,98.6254295532646,38.6363636363636,95.9493670886076,47.2222222222222,90.8872901678657,68,99.2405063291139,2.77777777777778,84.8484848484848,40
3000,"Ruffed Grouse","Bonasa umbellus","resid",2771,0.137821844517349,0.4318519289735,0.110539977332513,0.401705408193629,0.132821658079903,0.439064681432602,0.425467321964535,0.17354585980775,0.418209492849222,0.147841923634067,0.387782564800682,0.170723910029757,0.433223714246404,0.434643974035304,15.3846153846154,90.8629441624365,10,94.2105263157895,65.3846153846154,58.6294416243655,9.44444444444444,96.25,38.4615384615385,88.5786802030457,18.1818181818182,95.6164383561644,80.7692307692308,58.6294416243655,11.4130434782609,97.8813559322034,19.2307692307692,94.4162436548223,18.5185185185185,94.6564885496183,76.9230769230769,57.6142131979695,10.6951871657754,97.4248927038627,0,100,NA,93.8095238095238,27.6595744680851,92.6724137931034,75.3623188405797,61.2535612535613,67.0212765957447,73.2758620689655,67.0212765957447,73.2758620689655,17.5531914893617,97.4137931034483,84.6153846153846,59.3175853018373,67.0212765957447,74.1379310344828,67.741935483871,73.5042735042735,34.0425531914894,93.9655172413793,82.051282051282,63.7426900584795,70.7446808510638,72.8448275862069,67.8571428571429,75.4464285714286,88.2978723404255,53.448275862069,60.5839416058394,84.9315068493151
3120,"Band-tailed Pigeon","Patagioenas fasciata","neotrop",747,0.198150727414386,0.323074095929501,0.0464852622325842,0.000259595586151451,0.23633296710128,0.372246066519093,0.326870262722255,NA,NA,NA,NA,NA,NA,NA,76,84.4827586206897,51.3513513513513,94.2307692307692,88,67.2413793103448,36.6666666666667,96.2962962962963,76,87.9310344827586,57.5757575757576,94.4444444444444,100,65.5172413793103,38.4615384615385,100,72,87.0689655172414,54.5454545454545,93.5185185185185,84,61.2068965517241,31.8181818181818,94.6666666666667,0,100,NA,82.2695035460993,53.8461538461538,96.0526315789474,92.1052631578947,70.873786407767,73.8461538461539,86.8421052631579,82.7586206896552,79.5180722891566,52.3076923076923,88.1578947368421,79.0697674418605,68.3673469387755,75.3846153846154,78.9473684210526,75.3846153846154,78.9473684210526,58.4615384615385,94.7368421052632,90.4761904761905,72.7272727272727,80,81.5789473684211,78.7878787878788,82.6666666666667,89.2307692307692,76.3157894736842,76.3157894736842,89.2307692307692
3160,"Mourning Dove","Zenaida macroura","short",5042,0.147021148778585,0.111463030221513,0.111620759047134,0.00089120797381029,0.144257206208915,0.117305610951625,0.371756225979607,0.154042582304139,0.144114311129551,0.11983994405834,0.105141038437623,0.152850205174643,0.139381930642405,0.372717281942102,98.8311688311688,17.6,88.0787037037037,70.9677419354839,99.8701298701299,5.6,86.6967305524239,87.5,98.961038961039,24.8,89.018691588785,79.4871794871795,100,13.6,87.6993166287016,100,99.2207792207792,20.8,88.5283893395133,81.25,99.8701298701299,4.8,86.5990990990991,85.7142857142857,0,100,NA,13.9664804469274,97.0387243735763,47.0588235294118,98.9547038327526,23.5294117647059,99.5444191343963,17.6470588235294,98.4234234234234,42.8571428571429,95.7858769931663,64.7058823529412,99.2916174734357,22.9166666666667,98.6332574031891,47.0588235294118,98.9714285714286,40,97.8359908883827,58.8235294117647,99.1916859122402,34.4827586206897,99.6583143507973,23.5294117647059,98.536036036036,57.1428571428571,100,0,98.1005586592179,NA
3190,"White-winged Dove","Zenaida asiatica","short",331,0.28115492143873,0.15196681816434,0.0569937891047157,4.11772145827441e-05,0.318538104339172,0.247673063670978,0.376379446237939,NA,NA,NA,NA,NA,NA,NA,65.3846153846154,70.1754385964912,50,81.6326530612245,92.3076923076923,7.01754385964912,31.1688311688312,66.6666666666667,84.6153846153846,66.6666666666667,53.6585365853659,90.4761904761905,96.1538461538462,10.5263157894737,32.8947368421053,85.7142857142857,65.3846153846154,70.1754385964912,50,81.6326530612245,100,3.50877192982456,32.0987654320988,100,100,21.0526315789474,36.6197183098592,100,55.2631578947368,42.8571428571429,91.304347826087,8.10810810810811,92.1052631578947,57.1428571428571,95.8904109589041,40,52.6315789473684,85.7142857142857,97.5609756097561,14.2857142857143,92.1052631578947,71.4285714285714,97.2222222222222,45.4545454545455,56.578947368421,42.8571428571429,91.4893617021277,8.33333333333333,100,14.2857142857143,92.6829268292683,100,100,14.2857142857143,92.6829268292683,100
3250,NA,NA,NA,NA,0.259335376551124,0.267867643965851,0.218994923370637,0.237133688962356,0.231834607801962,0.267256607105375,0.391662537886552,0.289053247522234,0.349812697963541,0.249320669441967,0.307300706807522,0.268533047891708,0.349406172777674,0.405790316217558,76.2208067940552,64.8101265822785,72.0883534136546,69.5652173913043,99.7876857749469,4.05063291139241,55.359246171967,94.1176470588235,73.8853503184713,68.6075949367089,73.728813559322,68.7817258883249,99.3630573248408,10.6329113924051,57.0036540803898,93.3333333333333,72.1868365180467,71.1392405063291,74.8898678414097,68.2038834951456,99.1507430997877,9.62025316455696,56.6747572815534,90.4761904761905,0,100,NA,45.6120092378753,63.1578947368421,85.0574712643678,97.4257425742574,20.4986149584488,98.8446726572529,8.04597701149425,90.5882352941177,43.75,60.5905006418485,94.2528735632184,98.9517819706499,21.0796915167095,96.405648267009,31.0344827586207,92.6017262638718,49.0909090909091,59.9486521181001,95.4022988505747,99.1507430997877,21.0126582278481,97.6893453145058,24.1379310344828,92.0193470374849,53.8461538461538,99.8716302952503,1.14942528735632,90.0462962962963,50
3390,NA,NA,NA,NA,0.195214098287471,0.394734871662425,0.170335131085022,0.3649385006285,0.182473948647286,0.377974252251092,0.407761558758357,0.226200680081085,0.389483708547448,0.202955278163242,0.374821198979366,0.217019194212652,0.391355493026225,0.398371303958229,52.317880794702,86.9135802469136,59.8484848484849,83.0188679245283,94.7019867549669,42.7160493827161,38.1333333333333,95.5801104972376,60.2649006622517,86.4197530864197,62.3287671232877,85.3658536585366,93.3774834437086,42.7160493827161,37.8016085790885,94.5355191256831,58.2781456953642,86.6666666666667,61.9718309859155,84.7826086956522,93.3774834437086,45.679012345679,39.0581717451524,94.8717948717949,0,100,NA,72.841726618705,37.0473537604457,97.9695431472081,97.0802919708029,46.0620525059666,83.8440111420613,62.9441624365482,80.4812834224599,68.1318681318681,40.3899721448468,97.4619289340102,96.6666666666667,47.2906403940887,82.1727019498607,64.4670050761421,80.8219178082192,66.4921465968586,43.1754874651811,96.4467005076142,95.679012345679,48.2233502538071,84.958217270195,70.0507614213198,83.7912087912088,71.875,92.2005571030641,38.0710659898477,73.0684326710817,72.8155339805825
3850,"Greater Roadrunner","Geococcyx californianus","resid",693,0.231629892308319,0.351571669849893,0.134010670668304,2.12224877235467e-05,0.229571981718836,0.378689802944053,0.388685636238187,0.239229106309535,0.392430331813643,0.184841345121166,0.00265995169263937,0.247279161270872,0.403044277409821,0.376135246023115,34.7826086956522,84.8484848484848,61.5384615384615,65.1162790697674,95.6521739130435,28.7878787878788,48.3516483516484,90.4761904761905,47.8260869565217,92.4242424242424,81.4814814814815,71.7647058823529,97.8260869565217,39.3939393939394,52.9411764705882,96.2962962962963,54.3478260869565,77.2727272727273,62.5,70.8333333333333,95.6521739130435,30.3030303030303,48.8888888888889,90.9090909090909,95.6521739130435,18.1818181818182,44.8979591836735,85.7142857142857,49.4117647058824,92.5925925925926,95.4545454545455,36.7647058823529,87.0588235294118,29.6296296296296,79.5698924731183,42.1052631578947,43.5294117647059,74.0740740740741,84.0909090909091,29.4117647058824,85.8823529411765,59.2592592592593,86.9047619047619,57.1428571428571,62.3529411764706,85.1851851851852,92.9824561403509,41.8181818181818,89.4117647058824,44.4444444444444,83.5164835164835,57.1428571428571,91.7647058823529,14.8148148148148,77.2277227722772,36.3636363636364
3870,"Yellow-billed Cuckoo","Coccyzus americanus","neotrop",2792,0.236336824107799,0.282930775601744,0.158648250733526,0.244043760547038,0.176562817424977,0.271935430275305,0.389879378644828,0.25922283402756,0.35149822874047,0.186049453221656,0.303135379896764,0.208747967914255,0.327663569051664,0.395638495440496,84.0531561461794,66.0899653979239,72.0797720797721,79.9163179916318,100,2.7681660899654,51.7182130584193,100,81.063122923588,72.318339100346,75.3086419753086,78.5714285714286,99.6677740863787,5.5363321799308,52.3560209424084,94.1176470588235,80.7308970099668,75.4325259515571,77.3885350318471,78.9855072463768,99.3355481727575,10.0346020761246,53.4883720930233,93.5483870967742,0,100,NA,48.9830508474576,64.4736842105263,87.9310344827586,98,21.25,98.4962406015038,0,90.0343642611684,0,60.9022556390977,91.3793103448276,98.4802431610942,20.3065134099617,95.4887218045113,13.7931034482759,91.0394265232975,25,60.3383458646617,96.551724137931,99.3808049535604,20.9737827715356,96.6165413533835,25.8620689655172,92.2800718132855,45.4545454545455,99.4360902255639,5.17241379310345,90.5821917808219,50
