"AOU","rmse_me_PO_5"
2890,0.388804670533116
3000,0.403990381132559
3160,0.394646049415016
3250,0.398732859421335
3390,0.386518718977123
3850,0.378673657407622
3870,0.391944621144398
3880,0.3853729492349
3930,0.39964142372449
3940,0.396469522003507
4020,0.387518441699263
4021,0.373942606090993
4050,0.392521285539454
4060,0.393099081472504
4090,0.373049072669248
4120,0.390684402767481
4230,0.3829219172738
4280,0.383757974209545
4290,0.354734815139359
4430,0.366271610292667
4440,0.393182912266581
4470,0.354941804248637
4520,0.378943113177361
4540,0.331786424082018
4560,0.380983782818204
4570,0.392825099044609
4590,0.439498022052438
4610,0.380299386753465
4620,0.404291737213415
4641,0.412620936438234
4650,0.375903617827923
4660,0.385390895523049
4661,0.407277497786669
4670,0.414665194535192
4680,0.381152877713395
4690,0.386018622812256
4740,0.38256964774132
4750,0.397134094417181
4770,0.385015335799897
4780,0.401619465530436
4840,0.39063429831282
4860,0.41095850422499
4880,0.393652262714303
4900,0.369901283664636
4910,0.362628228822727
4930,0.398946308894629
4940,0.395440702825142
4950,0.392646081490095
4970,0.349779173722286
4980,0.396434033318795
5010,0.384018220595846
5011,0.35781766813809
5060,0.376457606501995
5070,0.381972577748549
5080,0.359025828335034
5100,0.377355186824754
5110,0.393373580301417
5120,0.34136786113374
5140,0.385643985404754
5170,0.422302299657162
5180,0.393271910178438
5190,0.40519510344134
5210,0.411640577629635
5290,0.398089207901747
5300,0.350034205559257
5330,0.417758596325231
5400,0.383134927761179
5420,0.407353244515776
5460,0.397091406013137
5520,0.3693054093332
5540,0.42026934857951
5580,0.386014738564225
5600,0.400652618976042
5610,0.388702120940902
5620,0.382176019640665
5630,0.381249693458775
5730,0.365731021203483
5810,0.389364924559837
5830,0.406692054452448
5840,0.393299685193762
5850,0.409011665979209
5870,0.376389983787918
5880,0.388467330961967
5900,0.388285140720169
5930,0.381196039818407
5950,0.382351574192902
5960,0.386287779560684
5970,0.394179006511754
5980,0.380081832812127
5990,0.381617403026875
6010,0.386667841308436
6040,0.390104491250747
6070,0.393757898304594
6080,0.38050795435145
6100,0.377190434057181
6110,0.380521205135482
6120,0.385070789481725
6130,0.399459394027136
6140,0.398535876735838
6150,0.418609032991442
6160,0.411494378717521
6170,0.398802457217578
6190,0.395521675951447
6220,0.378026614955672
6240,0.391611016334522
6270,0.387398868992044
6280,0.372680814719832
6290,0.421394032730564
6291,0.363598247910682
6310,0.376003676390629
6330,0.400644656606032
6360,0.403756476852611
6370,0.396928909487601
6390,0.341247016787803
6410,0.382923530595522
6450,0.396610628300589
6460,0.42140429853788
6480,0.385849561588376
6520,0.403192045984403
6540,0.399561070629922
6550,0.410285627750588
6570,0.397105668652297
6590,0.388880701434386
6620,0.383110640817563
6630,0.36681650627572
6650,0.404722456111824
6670,0.410222365757509
6710,0.374457591938582
6730,0.368551586731092
6740,0.401022325052115
6750,0.400598563636925
6760,0.38579925888486
6770,0.369208779961291
6790,0.390436131389238
6800,0.396995584843862
6810,0.39834110605556
6830,0.406876713596404
6840,0.368508491399497
6850,0.44124399364952
6860,0.361106302843269
6870,0.421104132764247
6882,0.405041042414167
7020,0.347088351722655
7030,0.390047537029841
7040,0.398509585421671
7050,0.388776933671357
7150,0.383517009262693
7180,0.374853248207211
7190,0.369332811406523
7210,0.395728272789937
7222,0.376469258460173
7240,0.391842503894647
7250,0.354417516956949
7260,0.410201439971283
7270,0.400132853960997
7280,0.403899356371326
7290,0.334611973195766
7310,0.379688977458303
7350,0.405919728664463
7360,0.368786793363327
7380,0.390144393750513
7430,0.382692164453908
7480,0.402378759078864
7490,0.419688995404352
7510,0.393974582019313
7540,0.390789266849883
7550,0.371081926526696
7560,0.419181120784696
7580,0.405055051742055
7590,0.42191843513118
7610,0.398565878262396
7630,0.370273080655401
7660,0.374987095331597
7670,0.346807623001626
7680,0.410326999677644
22860,0.377248235155376
