"AOU","rmse_occ","rmse_pres","rmse_gam","rmse_gam_pres","rmse_rf","rmse_rf_pres","rmse_me_pres"
2890,0.299338038626813,0.354472603354258,0.232338507244654,0.315575004732473,0.257561302541102,0.342815864138144,0.395907576430181
3000,0.169676029998893,0.406439073147429,0.143662826313353,0.372144670186632,0.166345277351731,0.415889045097877,0.421926343570472
3160,0.158961174768822,0.143243118741231,0.11897652552871,0.0982027899319059,0.155653681701492,0.143383844634029,0.372925246615441
3250,0.298060315993944,0.359172862982929,0.257754718872277,0.331495166203903,0.271857716386324,0.341885042007985,0.408690354405231
3390,0.234488664126418,0.377653732646173,0.213641121168484,0.355081055782854,0.229053679081158,0.369032557213544,0.383319145003698
3850,0.272624464492995,0.393122647909419,0.22548724473234,0.305954385002228,0.312236646274854,0.431909835412172,0.394318085567205
3870,0.282253903994006,0.350993579675231,0.209703515607975,0.302785732584576,0.229945322215393,0.339591319408305,0.397165769039319
3880,0.195657453474209,0.388677663506358,0.161232485836506,0.341437245462138,0.173537548426265,0.363325594612798,0.367463402430152
3930,0.307934834350274,0.432112360230175,0.274978291669317,0.388646543560978,0.281015336803563,0.403373413479994,0.413643273071508
3940,0.261785334814131,0.305548459510972,0.234938260491422,0.290214412769057,0.251528457870076,0.308823641413607,0.37835204869278
4020,0.324400529465439,0.357651570470995,0.220032059303688,0.26555410098269,0.291213401103929,0.313644730637966,0.375765569127803
4021,0.269646677895247,0.337995399802897,0.15453857103913,0.267310571782319,0.304394789578472,0.368660699221179,0.337819848134344
4050,0.317855908358523,0.3071579273263,0.29094681690046,0.291425664294702,0.297146131115909,0.304855933991624,0.398071686565053
4060,0.288694868157852,0.395897176321371,0.240275627074509,0.347424697778302,0.257464188055164,0.356821896960786,0.380722686131122
4090,0.207739906986015,0.141802378910625,0.156696890250317,0.00055118290044628,0.189226973521048,0.149085745368386,0.374756758606226
4120,0.299497273365733,0.270783845571232,0.238618783277444,0.217220088084636,0.25117726675173,0.255260493521765,0.379623121117565
4230,0.298316285397055,0.300655019752064,0.247566451308386,0.248917713380346,0.271925152043735,0.275350257996651,0.373047366595589
4280,0.30574711599858,0.392663295799272,0.274313110809542,0.360861295981457,0.283405052163499,0.379855689791213,0.419026765510357
4290,0.303606109593225,0.480742716296393,0.220429863832669,0.39883244966238,0.297266274875298,0.485870795206384,0.449567842029531
4430,0.300373560531462,0.280145106690602,0.00848446553869684,0.000180921971802406,0.272258654300908,0.311789985074447,0.372599652031866
4440,0.323432593244765,0.307117657525624,0.272900757712605,0.274035910308678,0.278701531385035,0.299291152952178,0.385732660851886
4470,0.330516488103345,0.33064805899795,0.276083444766153,0.304505732552268,0.323640614063764,0.324990767647587,0.390745589478934
4520,0.273377289216252,0.231691198577452,0.22814309673719,0.194644990956731,0.245531068704039,0.229574318933663,0.380032197512303
4540,0.345691766400849,0.372519194295415,0.154023085069442,1.77824863055734e-05,0.359708145243017,0.385618796843874,0.383982744177684
4560,0.305315376873442,0.250942232440303,0.21928020599079,0.183437113752785,0.240588796531356,0.222603635490405,0.382016668345248
4570,0.326141300167325,0.420224726886461,0.266741682637887,0.375121025388956,0.305686573008882,0.414560109348747,0.416996368756253
4590,0.247574840686829,0.355176721540584,0.218491836007722,0.332590285247345,0.2496000031841,0.360960474028617,0.344153079890365
4610,0.294771515194857,0.249733322378075,0.243253617225485,0.21194990815053,0.267865943041522,0.232448909772711,0.380719096914915
4620,0.320821603321983,0.370446357738506,0.271552161668563,0.336713511917615,0.318158719627956,0.366498049831177,0.400134159620406
4650,0.364563693357114,0.399960154561386,0.29854105372105,0.348576243234716,0.328890952978897,0.379454930641737,0.391102150447839
4660,0.346402585149876,0.424158365955331,0.28545835096764,0.385821940376163,0.28903701694409,0.392407674379509,0.397261569470697
4661,0.264177938236648,0.299696118501391,0.211957103438284,0.281846269073359,0.286721127611349,0.336680351236598,0.368245578522748
4670,0.303500212006849,0.322565091751768,0.233823269673928,0.256561506256684,0.280551284186735,0.315124949822541,0.386263066599512
4680,0.357957733203656,0.402203766180049,0.226935688818095,0.279312840396512,0.344604637579999,0.376283500898982,0.376238845927236
4690,0.361355240656881,0.402289421182412,0.259331454883946,0.351112106187296,0.36038733082691,0.404781245851024,0.378914932781941
4740,0.391151355136063,0.432038226682087,0.30262346050662,0.367313448399685,0.320405660926146,0.376892982326073,0.394699387670396
4750,0.343115197989025,0.391371561073503,0.231152826502373,0.309194514628003,0.316049472337541,0.364812566701528,0.356172280919421
4770,0.169736157408045,0.166475825158738,0.107404197816149,1.92311223578539e-05,0.138219805309762,0.166347535179123,0.370036816126985
4780,0.270859840358835,0.336936005529459,0.188705655124942,0.324267576588741,0.290513309844915,0.364082534552974,0.356554784346728
4840,0.298620489429013,0.439484123665955,0.221362777530799,0.383799483658827,0.310474112551534,0.457182730761873,0.427801934233241
4860,0.307498844460443,0.26577167452324,0.256784982874099,0.22840500613826,0.284311546694534,0.257437727246483,0.391988354417448
