"aou","rmse_me_pres"
2881,0.709826262142609
2881,0.727015444547625
2881,0.597601541365468
2881,0.556426321310384
2881,0.659179647956367
2881,0.530741911644328
2881,0.622576205576098
2881,0.498658142348715
2881,0.513419496676209
2881,0.553108646705795
2890,0.464744851969957
2890,0.442666085591717
2890,0.447060932372067
2890,0.446054887653108
2890,0.445027603886866
2890,0.407214182448685
2890,0.446940981391038
2890,0.441664369231842
2890,0.475589232627497
2890,0.447581930914653
3000,0.592783283180456
3000,0.566432184184308
3000,0.654467833257481
3000,0.64121911562945
3000,0.628236395848922
3000,0.598655040054177
3000,0.546213575207291
3000,0.626533607296465
3000,0.6578462301664
3000,0.611100538194832
3120,0.487042008594579
3120,0.568303430682091
3120,0.360730180394042
3120,0.470056263383024
3120,0.555443796421034
3120,0.605238180671686
3120,0.538386476110356
3120,0.572718045506775
3120,0.471321868438274
3120,0.466134157600472
3160,0.375286790472833
3160,0.399853539777926
3160,0.436725874216081
3160,0.38022029519872
3160,0.410446129629035
3160,0.42569047319082
3160,0.358272743522043
3160,0.407851765475162
3160,0.385778637563785
3160,0.432804269535895
3190,0.395474241672985
3190,0.50936441458458
3190,0.331166722372895
3190,0.520688270670049
3190,0.376911122089981
3190,0.180204944312431
3190,0.241787845005509
3190,0.317281080558289
3190,0.478320445590581
3190,0.334235182425169
3250,0.423543079682896
3250,0.407244080749936
3250,0.431048823148025
3250,0.406762086844188
3250,0.442691949575864
3250,0.403464972487562
3250,0.408369780171243
3250,0.372994324343238
3250,0.440087368305777
3250,0.358093156025881
3390,0.501541486985707
3390,0.589837414886364
3390,0.526632718827542
3390,0.491306305743292
3390,0.529735706096676
3390,0.51788247992068
3390,0.500288559865522
3390,0.491141328535221
3390,0.50470747870401
3390,0.548783506579481
3850,0.490657301715984
3850,0.384073234007985
3850,0.468616105953072
3850,0.380228750302115
3850,0.41100232428497
3850,0.372815506091349
3850,0.469077844949873
3850,0.265753297424254
3850,0.461318008930505
3850,0.532897534588201
3870,0.416233862679599
3870,0.365114226099783
3870,0.439433754435764
3870,0.407718280168855
3870,0.377169399062326
3870,0.439574510651574
3870,0.407088688875482
3870,0.389804602071867
3870,0.407913817697123
3870,0.418350937757622
3880,0.483958094340013
3880,0.458834026931337
3880,0.508528103683022
3880,0.58038833616216
3880,0.553403025071497
3880,0.488789841107001
3880,0.5235742498844
3880,0.522665169704391
3880,0.470158261101555
3880,0.474257380924609
3930,0.396259588401167
3930,0.444982011767745
3930,0.442947973473129
3930,0.391795148119035
3930,0.469155518693441
3930,0.441295678517342
3930,0.442917231623194
3930,0.392772133220929
3930,0.356392357132756
3930,0.418104856761945
3940,0.387763728314959
3940,0.390174832078868
3940,0.411195057978871
3940,0.408226980208848
3940,0.374383562160944
3940,0.39250199689066
3940,0.378271758053382
3940,0.366192522776098
3940,0.388811253071748
3940,0.386999659682112
3960,0.353166048367192
3960,0.253373006144966
3960,0.350619447910865
3960,0.326928815654965
3960,0.456198823556737
3960,0.280345956754172
3960,0.486233635024275
3960,0.352292141878081
3960,0.525069069476566
3960,0.430843766504597
4020,0.554522929656857
4020,0.459443406547994
4020,0.466256743631698
4020,0.420200250600299
4020,0.497887788024998
4020,0.47581173734797
4020,0.420376254799507
4020,0.472820208032011
4020,0.547652677325363
4020,0.424417617821257
4021,0.517722565539655
4021,0.494369187509815
4021,0.442950486584637
4021,0.521984915344386
4021,0.434672780711727
4021,0.474546364694341
4021,0.512421879536384
4021,0.451585601350963
4021,0.427918327213281
4021,0.488361219325298
4050,0.383173029030098
4050,0.44583710729829
4050,0.384272032137645
4050,0.389470941429821
4050,0.399770275468946
4050,0.413653793307061
4050,0.443911426264263
4050,0.405044338885802
4050,0.393648799289826
4050,0.437715969755977
4060,0.50409870963218
4060,0.519514158655289
4060,0.511064111510892
4060,0.4934617609016
4060,0.521514291435733
4060,0.497321758969558
4060,0.47114148430019
4060,0.511863891246114
4060,0.512486623140205
4060,0.462249332680373
4090,0.379654294071813
4090,0.381824019173932
4090,0.455749475461008
4090,0.400211857587353
4090,0.380687814336446
4090,0.382964685326217
4090,0.391713023322827
4090,0.377853484702908
4090,0.405416678440239
4090,0.380819206634724
4120,0.433522973310635
4120,0.359790992852844
4120,0.360959732286394
4120,0.423665930042981
4120,0.441244511294677
4120,0.396925113291638
4120,0.350990046822414
4120,0.39176016820407
4120,0.282693889944201
4120,0.360216886605346
4230,0.372461317177297
4230,0.351909841007807
4230,0.388791609837737
4230,0.368157161968768
4230,0.370220472615415
4230,0.366073592645705
4230,0.373445881826366
4230,0.355882416536234
4230,0.432396666088589
4230,0.374884968428832
4250,0.550611059756466
4250,0.660586829126004
4250,0.50549830179983
4250,0.679749846840874
4250,0.654944706716307
4250,0.596250524277452
4250,0.510471564082839
4250,0.58831188974015
4250,0.6202869083831
4250,0.592631669387638
