"lat","long","elev_point","bio_point.bio4","bio_point.bio5","bio_point.bio6","bio_point.bio13","bio_point.bio14","gimms_point"
50.4772727272727,-100.483333333333,1010,9320,314,-120,66,15,0.246883333333333
50.4772727272727,-99.45,1007,9359,317,-121,66,15,0.246883333333333
50.4772727272727,-98.4166666666667,995,9359,317,-121,66,15,0.246883333333333
50.4772727272727,-97.3833333333333,1005,9359,317,-121,66,15,0.246883333333333
50.4772727272727,-96.35,1006,9347,316,-122,66,15,0.250983333333333
50.4772727272727,-95.3166666666667,1006,9347,316,-122,66,15,0.250983333333333
50.4772727272727,-94.2833333333333,1006,9347,316,-122,66,15,0.250983333333333
50.4772727272727,-93.25,1006,9397,318,-123,65,15,0.250983333333333
50.4772727272727,-92.2166666666667,1006,9397,318,-123,65,15,0.250983333333333
50.4772727272727,-91.1833333333333,1006,9397,318,-123,65,15,0.250983333333333
50.4772727272727,-90.15,1006,9419,318,-124,65,15,0.261683333333333
50.4772727272727,-89.1166666666667,1006,9419,318,-124,65,15,0.261683333333333
50.4772727272727,-88.0833333333333,1010,9419,318,-124,65,15,0.261683333333333
50.4772727272727,-87.05,1033,9419,318,-124,65,15,0.261683333333333
50.4772727272727,-86.0166666666667,1033,9409,317,-126,65,15,0.261683333333333
50.4772727272727,-84.9833333333333,1036,9409,317,-126,65,15,0.261683333333333
50.4772727272727,-83.95,1018,9409,317,-126,65,15,0.261683333333333
50.4772727272727,-82.9166666666667,976,9506,321,-127,63,14,0.33055
50.4772727272727,-81.8833333333333,975,9506,321,-127,63,14,0.33055
50.4772727272727,-80.85,963,9506,321,-127,63,14,0.33055
50.4772727272727,-79.8166666666667,914,9587,324,-129,62,14,0.33055
50.4772727272727,-78.7833333333333,914,9587,324,-129,62,14,0.33055
50.4772727272727,-77.75,914,9587,324,-129,62,14,0.33055
50.4772727272727,-76.7166666666667,914,9657,326,-131,60,13,0.473216666666667
50.4772727272727,-75.6833333333333,894,9657,326,-131,60,13,0.473216666666667
50.4772727272727,-74.65,891,9657,326,-131,60,13,0.473216666666667
50.4772727272727,-73.6166666666667,890,9680,326,-134,60,13,0.473216666666667
50.4772727272727,-72.5833333333333,886,9680,326,-134,60,13,0.473216666666667
50.4772727272727,-71.55,884,9680,326,-134,60,13,0.473216666666667
50.4772727272727,-70.5166666666667,943,9683,322,-138,61,14,0.399283333333333
49.4318181818182,-100.483333333333,1006,9320,314,-120,66,15,0.246883333333333
49.4318181818182,-99.45,1002,9359,317,-121,66,15,0.246883333333333
49.4318181818182,-98.4166666666667,1001,9359,317,-121,66,15,0.246883333333333
49.4318181818182,-97.3833333333333,1006,9359,317,-121,66,15,0.246883333333333
49.4318181818182,-96.35,1008,9347,316,-122,66,15,0.250983333333333
49.4318181818182,-95.3166666666667,1006,9347,316,-122,66,15,0.250983333333333
49.4318181818182,-94.2833333333333,1006,9347,316,-122,66,15,0.250983333333333
49.4318181818182,-93.25,1006,9397,318,-123,65,15,0.250983333333333
49.4318181818182,-92.2166666666667,1006,9397,318,-123,65,15,0.250983333333333
49.4318181818182,-91.1833333333333,1006,9397,318,-123,65,15,0.250983333333333
49.4318181818182,-90.15,975,9419,318,-124,65,15,0.261683333333333
49.4318181818182,-89.1166666666667,996,9419,318,-124,65,15,0.261683333333333
49.4318181818182,-88.0833333333333,996,9419,318,-124,65,15,0.261683333333333
49.4318181818182,-87.05,1002,9419,318,-124,65,15,0.261683333333333
49.4318181818182,-86.0166666666667,1006,9409,317,-126,65,15,0.261683333333333
49.4318181818182,-84.9833333333333,1034,9409,317,-126,65,15,0.261683333333333
49.4318181818182,-83.95,1006,9409,317,-126,65,15,0.261683333333333
49.4318181818182,-82.9166666666667,975,9506,321,-127,63,14,0.33055
49.4318181818182,-81.8833333333333,975,9506,321,-127,63,14,0.33055
49.4318181818182,-80.85,963,9506,321,-127,63,14,0.33055
49.4318181818182,-79.8166666666667,914,9587,324,-129,62,14,0.33055
49.4318181818182,-78.7833333333333,914,9587,324,-129,62,14,0.33055
49.4318181818182,-77.75,914,9587,324,-129,62,14,0.33055
49.4318181818182,-76.7166666666667,914,9657,326,-131,60,13,0.473216666666667
49.4318181818182,-75.6833333333333,895,9657,326,-131,60,13,0.473216666666667
49.4318181818182,-74.65,891,9657,326,-131,60,13,0.473216666666667
49.4318181818182,-73.6166666666667,890,9680,326,-134,60,13,0.473216666666667
49.4318181818182,-72.5833333333333,884,9680,326,-134,60,13,0.473216666666667
49.4318181818182,-71.55,921,9680,326,-134,60,13,0.473216666666667
49.4318181818182,-70.5166666666667,947,9683,322,-138,61,14,0.399283333333333
48.3863636363636,-100.483333333333,1006,9294,316,-118,66,15,0.355533333333333
48.3863636363636,-99.45,1000,9293,316,-119,66,15,0.355533333333333
48.3863636363636,-98.4166666666667,1006,9293,316,-119,66,15,0.355533333333333
48.3863636363636,-97.3833333333333,1006,9293,316,-119,66,15,0.355533333333333
48.3863636363636,-96.35,1011,9302,316,-120,66,15,0.297616666666667
48.3863636363636,-95.3166666666667,1006,9302,316,-120,66,15,0.297616666666667
48.3863636363636,-94.2833333333333,1006,9302,316,-120,66,15,0.297616666666667
48.3863636363636,-93.25,1006,9354,317,-121,66,15,0.297616666666667
48.3863636363636,-92.2166666666667,1006,9354,317,-121,66,15,0.297616666666667
48.3863636363636,-91.1833333333333,1006,9354,317,-121,66,15,0.297616666666667
48.3863636363636,-90.15,999,9387,319,-123,65,15,0.26935
48.3863636363636,-89.1166666666667,975,9387,319,-123,65,15,0.26935
