"AOU","rmse_occ_notrans","rmse_pres_notrans","rmse_gam_notrans","rmse_gam_pres_notrans","rmse_rf_notrans","rmse_rf_pres_notrans","rmse_me_pres_notrans"
2890,0.218068767088045,0.321643382326334,0.192274854821243,0.310159478403479,0.221237502538014,0.327760695743757,0.486089251001622
3000,0.260545780973471,0.400173029850075,0.230764421574085,0.389406907049071,0.273836003136197,0.427213648039711,0.483823296846329
3250,0.277851598064176,0.402089389307536,0.256631960011597,0.380338867356753,0.279889151671674,0.407571693235388,0.461738570890305
3390,0.268450486196061,0.389832281481758,0.246116905602358,0.376964729521554,0.268706426744248,0.393129954922209,0.514167590292137
3870,0.252930703902563,0.361525015412186,0.218479221003552,0.330459006872069,0.242799481815083,0.362308263464736,0.441785982601463
3880,0.294215492255229,0.42117523775756,0.262065090123946,0.39632917618638,0.284129331544341,0.422299386997253,0.449458709263015
3930,0.320763713472411,0.43872529860124,0.303820964714339,0.426825402257387,0.3209093812014,0.445354851055911,0.512093412984679
3940,0.221655032216777,0.324569577388226,0.196848075209849,0.302305402969074,0.223440486522354,0.328859234160318,0.413071449645287
4050,0.302758821892021,0.400781052459581,0.280484279402425,0.38935810328655,0.306797220078779,0.407952415329894,0.485489562656073
4060,0.244216016292848,0.370463104042887,0.22031519425123,0.346823227885419,0.244715779390064,0.377972255530583,0.539879467791507
4120,0.19840955037895,0.283258927837797,0.170501028560275,0.246798614976111,0.196157089473016,0.276975405427553,0.377078571989039
4230,0.212041511635537,0.297064827752174,0.188902354169212,0.285582881059695,0.219979752330364,0.309479134841045,0.483733127184601
4280,0.333457189729439,0.463673882298067,0.309864590342283,0.448307273489617,0.34144365396036,0.477797645404085,0.529569384396212
4440,0.219829632016734,0.304566599739833,0.198653632600993,0.293409097176416,0.223576790135457,0.313185515806936,0.46361115291182
4470,0.275692936966761,0.374757365761996,0.210158437068903,0.334298979084052,0.273330754828898,0.363519727923249,0.47405851135902
4570,0.246031222535266,0.380765452678215,0.210965864197242,0.374314091087133,0.259151476262302,0.399053266981008,0.550340052590969
4590,0.223762091795352,0.32640795292241,0.202125870303687,0.309543871543275,0.232332004040115,0.345856403165762,0.482706964173058
4610,0.186999773970313,0.262844893934297,0.163322420206334,0.249122113796338,0.189210196234952,0.260754860409436,0.4165955057423
4620,0.256137190348441,0.368963463694464,0.224218024078879,0.357277900433166,0.27014905819962,0.39156879013875,0.53305052530557
