"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
5540,0.251851876909657,0.626315789473684,0.317025847921277,0.677432216905901,0.22436674910302,0.582121971595656,0.310975620083726,0.762349054454318,0.245176813903138,0.556975772765246,0.302071644391016,0.804408749145591,0.471705369168712,0.778035999088631
5580,0.256261811254751,0.600717488789238,0.304352327628748,0.665966485721029,0.238532289289365,0.692615844544096,0.28888582881155,0.799221147037999,0.260106207438746,0.695007473841555,0.303997279594458,0.716430088674601,0.460440611658119,0.793307259179338
5600,0.336424882195876,0.697120523784073,0.363758779716006,0.636369643367037,0.327970525466478,0.626002137894174,0.358217747910421,0.691332193611211,0.329071475025786,0.459992428291466,0.357428057118823,0.720588762876786,0.524116906175311,0.706402883228513
5610,0.261680097722995,0.550460666194189,0.336830593901286,0.708183097352915,0.240915637276364,0.569950389794472,0.328856769338643,0.74589306129628,0.258352681005204,0.549326718639263,0.33814338393014,0.710658693166828,0.481048247774112,0.759867206050479
5620,0.226477963479574,0.634331597222222,0.286704883248389,0.721616972477064,0.208388087025952,0.590711805555556,0.279407028560233,0.795925315366973,0.22807708142462,0.6396484375,0.286268980201898,0.770592925745413,0.450997317191097,0.809982439793578
5630,0.336894363391639,0.653574902723735,0.403409202827329,0.574599578293614,0.324203106181235,0.605874791550862,0.39613331219867,0.650686152410036,0.327453964606219,0.527028904947193,0.397535408148239,0.687893883850146,0.545775038743241,0.663690915956591
5730,0.270879596873951,0.461016949152542,0.338176714113055,0.691905914908336,0.240863566900039,0.63680387409201,0.311716651890539,0.813317191283293,0.273796111402944,0.545278450363196,0.345384881746172,0.687928052576963,0.500860656724999,0.763161535800761
5780,0.245776964712434,0.784383561643836,0.361091607051262,0.598952457695407,0.209559913326437,0.618356164383562,0.351105484438894,0.694520547945205,0.250040872413533,0.570958904109589,0.367402706158977,0.628364222401289,0.524982492736492,0.741176470588235
5810,0.33895434163728,0.662398841637575,0.366627313458921,0.642489668210882,0.331936183357036,0.699966280545858,0.361935147569452,0.68421113514639,0.331827684356328,0.50791415423675,0.361470992236941,0.711674054120117,0.533930158722988,0.693256134319042
5830,0.206275975357172,0.493777257738538,0.282815243839165,0.691537821383207,0.186429712524408,0.579512817785342,0.273589222416176,0.789781437519163,0.202846153108239,0.731624295287735,0.279466133002835,0.750186150409531,0.456514483456403,0.79747930445447
5840,0.227070557448779,0.543809523809524,0.31187130764901,0.632164918414918,0.212949542442496,0.657604617604618,0.297387167852779,0.783228438228438,0.226623789736404,0.712813852813853,0.308281569319602,0.756490384615385,0.47734698780228,0.777392191142191
5850,0.195415591124622,0.582481060606061,0.266133346738189,0.679352678571429,0.180295423229381,0.633806818181818,0.256185283394337,0.783494543650794,0.195514476307129,0.597064393939394,0.261278481362392,0.713932291666667,0.471890111294153,0.790290178571429
5870,0.279308343697777,0.581911926483171,0.334364296229703,0.715955241896965,0.264989204903754,0.567044103430267,0.32422883801468,0.788920183988166,0.271452565230241,0.620870512150945,0.325817071110188,0.811644068581618,0.446001494319318,0.793740610264085
5880,0.270357865369396,0.465528519099948,0.335694155849413,0.659260330312962,0.259576182202973,0.561093668236525,0.332150393636254,0.697775421459632,0.273962523661163,0.636773940345369,0.336780248682065,0.70443469785575,0.526661669292456,0.708967932652143
5900,0.250562822526966,0.614242261585257,0.319794610498914,0.709650856389987,0.21711669372,0.458400429414922,0.314121680726855,0.749286341677646,0.257791436471137,0.55358740382895,0.331511844337839,0.659548382374469,0.479198382037358,0.769653052261748
5930,0.395348918131281,0.691767881241565,0.40947305014357,0.589121730982196,0.385075455497083,0.693348756506651,0.403158447484669,0.65157930604687,0.389364251956384,0.577482166955851,0.404906870091839,0.688308875946575,0.546407335694666,0.659181495778803
5950,0.29750203880486,0.644720332827049,0.37589132089262,0.6598569421656,0.283851184988282,0.625833718549825,0.367144694405993,0.718615391764702,0.291701459403118,0.502245261837152,0.371229834316809,0.723673533585704,0.508264005524185,0.720760186883148
5960,0.25355533903812,0.504789498580889,0.333780249429735,0.653837032396635,0.242812554455335,0.600106433301798,0.330440321937828,0.688685788437444,0.25605399337784,0.514782403027436,0.337372628140521,0.657029711831036,0.524656826261465,0.70912609629497
5970,0.322519242726508,0.553011204481793,0.402307421034033,0.597613646522439,0.310688803043147,0.567436974789916,0.38795855925764,0.681122049883783,0.314084038304378,0.581395891690009,0.384894096137565,0.714836998629239,0.535102260877456,0.680125640681805
5980,0.351712994777423,0.794753846153846,0.381793638925942,0.623342756183746,0.340454744188449,0.768292307692308,0.375729696708831,0.686191519434629,0.343096008627604,0.725792307692308,0.376393364652432,0.713537102473498,0.526436071595199,0.695650176678445
5990,0.22028646362639,0.512554856806768,0.329649825144688,0.640238817425702,0.208393127171169,0.599918563090983,0.319521085541857,0.735153246101505,0.222765962355174,0.618694294892096,0.329033947497427,0.706585191253201,0.530063987466413,0.71172906473015
6010,0.299411321122949,0.630982367758186,0.370755940936953,0.601338161209068,0.250227623002896,0.581024349286314,0.347164176925184,0.741199622166247,0.308892817538856,0.57808564231738,0.382714276121205,0.613476070528967,0.532331467372901,0.721741183879093
6040,0.287551019211407,0.70883817735821,0.393004150125389,0.580424238378917,0.272583768629028,0.612824896553433,0.372041632833007,0.712437632452818,0.278824565989952,0.528680096137169,0.372648224056217,0.723413486408464,0.532795188554988,0.689120374233095
6050,0.196616508331527,0.718184104627767,0.299665626731799,0.771083644725496,0.175294248993661,0.665492957746479,0.28349102786816,0.841534923828686,0.207959289251029,0.726169517102616,0.304733686507967,0.736892785283127,0.419004262372735,0.820724346076459
6070,0.288902486279875,0.625688457854406,0.360755229793426,0.625309193769592,0.275584471540562,0.533554837164751,0.355120980323439,0.679549740399687,0.294286440019948,0.503532088122605,0.369123353048397,0.631456333268025,0.541860324191978,0.674976121669279
6080,0.313944802271891,0.694120505344995,0.415933643892348,0.558144219640476,0.296720392664164,0.646865889212828,0.405065126530241,0.6559601945588,0.306550791100658,0.47033527696793,0.409176866382506,0.669699627876994,0.550802431425224,0.654928249117307
