AOU,rmse_occ,rmse_pres,rmse_gam,rmse_gam_pres,rmse_rf,rmse_rf_pres,rmse_me_pres,n_pres,n,glm_diff,gam_diff,rf_diff,PRIMARY_COM_NAME,ALPHA.CODE
3850,0.231629892,0.35157167,0.134010671,2.12E-05,0.229532087,0.373941976,0.388685636,85,112,-0.119941778,0.133989448,-0.144409889,Greater Roadrunner,GRRO
4640,0.283289675,0.412353971,0.117624414,0.366680175,0.317335063,0.464739439,0.39065815,60,142,-0.129064297,-0.249055761,-0.147404376,Cordilleran Flycatcher,COFL
4840,0.276014198,0.407942774,0.194797438,0.373303229,0.28633156,0.436603286,0.414635641,114,166,-0.131928576,-0.178505791,-0.150271726,Gray Jay,GRAJ
6860,0.268983883,0.443387862,0.178215547,0.326802387,0.273370383,0.427914167,0.415394542,112,186,-0.174403979,-0.14858684,-0.154543784,Canada Warbler,CAWA
6390,0.293590203,0.475930466,0.218091516,0.384465625,0.27627716,0.431600225,0.428323414,150,286,-0.182340264,-0.166374109,-0.155323065,Worm-eating Warbler,WEWA
7480,0.269645998,0.40799488,0.199823228,0.38337628,0.248944145,0.410605201,0.400542926,172,361,-0.138348881,-0.183553052,-0.161661056,Golden-crowned Kinglet,GCKI
5330,0.253802063,0.407516551,0.21338558,0.350149318,0.25311979,0.415469784,0.417986289,237,354,-0.153714488,-0.136763739,-0.162349993,Pine Siskin,PISI
7250,0.252010471,0.399427315,0.177997193,0.346560518,0.210661323,0.376660379,0.411023223,137,539,-0.147416844,-0.168563325,-0.165999056,Marsh Wren,MAWR
6330,0.282572875,0.42483811,0.139060365,0.222041236,0.22064555,0.391925687,0.401955479,119,188,-0.142265235,-0.082980871,-0.171280137,Bell's Vireo,BEVI
6410,0.245903363,0.460470935,0.169278573,0.314427749,0.205089736,0.379306501,0.39565892,171,350,-0.214567572,-0.145149176,-0.174216765,Blue-winged Warbler,BWWA
7430,0.242883645,0.425494645,0.163440381,0.282668384,0.248103601,0.422490859,0.410093908,100,146,-0.182611,-0.119228003,-0.174387258,Bushtit,BUSH
5210,0.251722896,0.405733091,0.190885493,0.367794011,0.226311387,0.407350945,0.396291001,149,318,-0.154010195,-0.176908518,-0.181039558,Red Crossbill,RECR
7540,0.267752735,0.414583352,0.189441779,0.352829636,0.267150972,0.450147254,0.405243101,104,186,-0.146830618,-0.163387857,-0.182996282,Townsend's Solitaire,TOSO
6420,0.154028808,0.358849162,0.087884176,0.288502536,0.148533344,0.335820002,0.359795054,68,285,-0.204820354,-0.20061836,-0.187286658,Golden-winged Warbler,GWWA
6370,0.24223858,0.415542827,0.169157013,0.358037541,0.233244636,0.423489228,0.389234602,131,309,-0.173304246,-0.188880528,-0.190244592,Prothonotary Warbler,PROW
7240,0.234348663,0.408802263,0.157864188,0.351376782,0.219165586,0.410005436,0.406824266,146,219,-0.174453601,-0.193512594,-0.19083985,Sedge Wren,SEWR
3880,0.166690969,0.380345109,0.130478287,0.32481892,0.142802514,0.334959062,0.370039274,320,574,-0.21365414,-0.194340632,-0.192156547,Black-billed Cuckoo,BBCU
3390,0.195214098,0.394734872,0.170335131,0.364938501,0.18390521,0.376374845,0.407761559,359,556,-0.199520773,-0.19460337,-0.192469635,Red-shouldered Hawk,RSHA
6580,0.201471599,0.39792551,0.140035907,0.36021261,0.206485864,0.407434022,0.390569503,80,188,-0.196453911,-0.220176703,-0.200948158,Cerulean Warbler,CERW
6760,0.247196442,0.437567854,0.198355909,0.393901169,0.227645889,0.438733462,0.422194071,223,406,-0.190371412,-0.19554526,-0.211087574,Louisiana Waterthrush,LOWA
4250,0.235582778,0.435014186,0.200325996,0.401938487,0.265223855,0.483160999,0.453441251,64,184,-0.199431408,-0.201612491,-0.217937145,White-throated Swift,WTSW
5140,0.225413445,0.457792757,0.178802717,0.395010746,0.224773766,0.443176996,0.421918038,147,271,-0.232379313,-0.216208028,-0.21840323,Evening Grosbeak,EVGR
6160,0.259203946,0.481024847,0.224676448,0.43445767,0.249831109,0.468287535,0.473726613,302,609,-0.2218209,-0.209781222,-0.218456426,Bank Swallow,BANS
7260,0.227125436,0.436046771,0.179989859,0.395299502,0.19832367,0.419194158,0.412840775,230,450,-0.208921335,-0.215309642,-0.220870488,Brown Creeper,BRCR
7170,0.194501303,0.432121735,0.118177166,0.355244824,0.201442439,0.433013127,0.456749207,62,197,-0.237620433,-0.237067658,-0.231570689,Canyon Wren,CANW
4290,0.255420944,0.475980192,0.181965521,0.375247084,0.248689642,0.484160348,0.428380736,93,162,-0.220559248,-0.193281563,-0.235470706,Black-chinned Hummingbird,BCHU
2881,0.139124072,0.390684466,0.069057411,0.307902506,0.131237589,0.387446926,0.357233678,68,193,-0.251560394,-0.238845095,-0.256209337,Gray Partridge,GRAP
5470,0.157623544,0.435867758,0.103414403,0.390350162,0.161889669,0.437867218,0.49119437,73,253,-0.278244213,-0.286935759,-0.27597755,Henslow's Sparrow,HESP
3000,0.137821845,0.431851929,0.110539977,0.401705408,0.132095297,0.442603627,0.425467322,188,420,-0.294030084,-0.291165431,-0.31050833,Ruffed Grouse,RUGR
