"AOU","rmse_me_pres"
2881,0.338473116813962
2890,0.380982202066895
3000,0.417488056693488
3120,0.396172279248738
3160,0.395218447093469
3190,0.331160864181022
3250,0.400328088001431
3390,0.385713176238765
3850,0.358516209606798
3870,0.390873673405472
3880,0.375932645492254
3920,0.405412466111769
3930,0.402698489420494
3940,0.393300584040121
3960,0.331798185895808
4020,0.392699463845538
4021,0.383830416976257
4050,0.391390760199693
4060,0.390903453707669
4090,0.374722440418504
4120,0.390361834662077
4230,0.380198439758209
4250,0.348328589632434
4280,0.380624104082221
4290,0.369177294676743
4320,0.412147792983811
4330,0.39414128822511
4430,0.360416098552742
4440,0.396451583178266
4470,0.355048941143625
4520,0.379267050630243
4540,0.330303956414399
4560,0.383059118230883
4570,0.395263483697246
4590,0.410051549088532
4610,0.376301582025294
4620,0.40021919670382
4640,0.408020610369262
4641,0.404330689296125
4650,0.374251244949494
4660,0.385134175382996
4661,0.413862164924351
4670,0.411244950595783
4680,0.378715011492003
4690,0.401537188949463
4740,0.388644700595943
4750,0.393689515057915
4770,0.387013707652173
4780,0.390097496585864
4840,0.420900680269221
4860,0.409166252667508
4880,0.393799592183062
4900,0.375199753934725
4910,0.370337646103669
4930,0.394834707897922
4940,0.399220189046479
4950,0.393835733927161
4970,0.34843167869519
4980,0.397537296414383
5010,0.382651615078099
5011,0.363470776106822
5060,0.379192237236945
5070,0.388481715570197
5080,0.363705995986986
5100,0.377552188385823
5110,0.391178637631816
5120,0.362882303807614
5140,0.388299307195017
5170,0.413272956922689
5180,0.374665941077241
5190,0.400663957267506
5210,0.414712636427608
5290,0.394395251040896
5300,0.340327067085956
5330,0.41009012904224
5400,0.386878150979891
5420,0.406788854093322
5460,0.391291546067148
5470,0.36968163889266
5520,0.366050131907676
5540,0.432434719263797
5580,0.389909012681439
5600,0.399642098878379
5610,0.395579147366039
5620,0.377880031281264
5630,0.381351348960125
5730,0.369638552402709
5780,0.318518220434289
5810,0.392098432029582
5830,0.410372225285636
5840,0.387720915507396
5850,0.423301684594227
5870,0.374684179132484
5880,0.387854679857454
5900,0.393472379649653
5930,0.37651104863428
5950,0.377270879033872
5960,0.38655514381924
5970,0.389821303278507
5980,0.384592538887758
5990,0.38778626826514
6010,0.382275589659404
6040,0.380087509259459
6050,0.379498552837498
6070,0.406819488010195
6080,0.380902229324281
6100,0.379931792265829
6110,0.381945227027955
6120,0.385374131916544
6130,0.399178597850688
6140,0.400730008301389
6150,0.40138864108204
6160,0.409004468994129
6170,0.396087901230916
6190,0.397594349421577
6220,0.382011353735735
6240,0.388560638495447
6270,0.389310285858939
6280,0.375667803725175
6290,0.420569222071888
6291,0.362739028355493
6292,0.417957130117283
6310,0.367974622440501
6330,0.40978906672083
6360,0.399558379417424
6370,0.387571292244942
6390,0.363507688023481
6410,0.37011015507006
6420,0.374073437959228
6450,0.393754996586049
6460,0.421411725346977
6480,0.38654054921919
6520,0.402552053237474
6540,0.386382273586121
6550,0.411461081630749
6570,0.400265753946255
6580,0.407284134772365
6590,0.400657070717261
6620,0.385483113036221
6630,0.359407582504831
6650,0.385606723745734
6670,0.415790549133297
6680,0.38382783283332
6710,0.372666149405886
6730,0.368071318874414
6740,0.400228596801561
6750,0.406175255012184
6760,0.388985485364144
6770,0.374285695311268
6790,0.390082616249839
6800,0.403703882257601
6810,0.399741344058341
6830,0.404327570260354
6840,0.380909310101425
6850,0.43478723275239
6860,0.376518603257496
6870,0.411394561516807
6882,0.403506620304194
7020,0.360058363987134
7030,0.397652171876804
7040,0.400213893979109
7050,0.383872302688607
7150,0.383474182367101
7170,0.360343666313004
7180,0.379686939663889
7190,0.380987226360283
7210,0.397282693504457
7222,0.373989573635935
7240,0.384005516995326
7250,0.360608992120027
7260,0.410281306021599
7270,0.399888559053438
7280,0.409704072786759
7290,0.327480447296744
7310,0.382155526122957
7350,0.40751426934889
7360,0.372226995478762
7380,0.380212153121272
7430,0.371409229694687
7480,0.400719989767452
7490,0.417402315675601
7510,0.397435826740769
7540,0.389945388872208
7550,0.372509831315515
7560,0.415134461633729
7580,0.409530731968864
7590,0.43229605028126
7610,0.398401544675167
7630,0.39705452129853
7660,0.378989941013433
7670,0.376412808674926
7680,0.411414838267502
22860,0.37389753362959
