"aou","stateroute","occ","presence.x","latitude","longitude","predicted_max_pres"
2881,4002,0.866666666666667,1,49.87324,-111.4102,1
2881,4003,0.8,1,49.08995,-112.39699,1
2881,4004,0.933333333333333,1,49.81509,-113.56982,1
2881,4022,0.0666666666666667,1,52.02799,-114.47782,1
2881,4040,0.0666666666666667,1,54.12038,-114.71491,1
2881,4115,0.266666666666667,1,51.54794,-114.21268,1
2881,4204,0.333333333333333,1,49.26174,-113.65683,1
2881,4213,0.4,1,51.18333,-112.33055,1
2881,4229,0.0666666666666667,1,53.3377,-113.85339,1
2881,4302,0.933333333333333,1,49.75642,-111.51741,1
2881,4304,0.533333333333333,1,49.74948,-113.78431,1
2881,11608,0.0666666666666667,1,49.25746,-119.5261,1
2881,33010,0.133333333333333,1,45.0341095,-113.5624829,1
2881,33014,0.133333333333333,1,44.722359,-113.5203605,1
2881,33021,0.0666666666666667,1,43.1104288,-112.7317982,1
2881,33022,0.0666666666666667,1,43.5343116,-111.7010272,1
2881,33027,0.133333333333333,1,42.8548166,-112.519388,1
2881,33124,0.266666666666667,1,42.953922,-115.2124573,0
2881,33211,0.466666666666667,1,44.1957002,-116.5087254,1
2881,33219,0.0666666666666667,1,43.4007821,-114.252264,1
2881,33220,0.133333333333333,1,43.3387265,-113.8743621,1
2881,33221,0.2,1,43.8124267,-112.3960119,1
2881,36013,0.0666666666666667,1,41.6586017,-94.1444549,1
2881,45002,0.0666666666666667,1,49.72673,-96.72108,1
2881,45013,0.2,1,50.07638,-96.60014,1
2881,45102,0.2,1,49.56482,-96.88941,1
2881,45103,0.0666666666666667,1,49.97542,-97.5052,1
2881,45203,0.4,1,49.10385,-97.84131,1
2881,45205,0.266666666666667,1,49.51136,-98.16004,1
2881,50003,0.2,1,43.8179682,-93.4993444,1
2881,50055,0.0666666666666667,1,43.6884582,-93.0194666,1
2881,50064,0.0666666666666667,1,45.2573787,-94.8259589,1
2881,53002,0.266666666666667,1,48.1080187,-114.4619289,1
2881,53009,0.133333333333333,1,48.2200197,-107.868382,1
2881,53017,0.266666666666667,1,47.4941887,-111.2628629,1
2881,53028,0.0666666666666667,1,46.1235467,-111.9188609,1
2881,53040,0.133333333333333,1,45.7251707,-109.5466543,1
2881,53074,0.133333333333333,1,47.6601727,-114.1345589,1
2881,53138,0.0666666666666667,1,45.9146442,-111.763656,1
2881,64005,0.2,1,46.8060287,-99.4688039,1
2881,64008,0.266666666666667,1,47.9619307,-97.4077439,1
2881,64009,0.4,1,47.4859247,-98.2439809,1
2881,64011,0.0666666666666667,1,47.0675197,-99.6292032,1
2881,64012,0.266666666666667,1,47.0807973,-99.0545676,1
2881,64019,0.2,1,47.2727187,-100.5587399,1
2881,64028,0.0666666666666667,1,48.4004127,-100.6573939,1
2881,64033,0.0666666666666667,1,47.6171277,-103.5450979,1
2881,64039,0.266666666666667,1,48.6621167,-102.6906819,1
2881,64042,0.466666666666667,1,47.6462687,-100.0542839,1
2881,64043,0.333333333333333,1,46.6039277,-100.1056369,1
2881,64103,0.133333333333333,1,46.7251818,-98.797372,1
2881,68025,0.133333333333333,1,45.56464,-76.91573,1
2881,76005,0.0666666666666667,1,45.72505,-73.40518,1
2881,79033,0.4,1,52.23764,-107.97894,1
2881,79132,0.133333333333333,1,52.0567,-106.21899,1
2881,79133,0.133333333333333,1,52.23109,-107.40788,1
2881,81001,0.266666666666667,1,43.3306215,-96.8856776,1
2881,81003,0.266666666666667,1,43.9499467,-97.4702229,1
2881,81010,0.133333333333333,1,44.2320836,-96.9486732,1
2881,81019,0.0666666666666667,1,45.7331549,-97.7103493,1
2881,85203,0.0666666666666667,1,41.6247767,-111.7942819,1
2881,89006,0.133333333333333,1,48.0936267,-119.8061899,1
2881,89057,0.466666666666667,1,47.1349527,-118.1635439,1
2881,89075,0.266666666666667,1,47.6640047,-119.6308899,1
2881,89164,0.133333333333333,1,46.8232937,-118.6507939,0
2881,91063,0.0666666666666667,1,43.3759057,-87.8785709,1
2881,92002,0.133333333333333,1,44.4668237,-109.1344079,1
2881,92005,0.0666666666666667,1,44.7890327,-106.7184519,1
2881,4028,0,0,53.33769,-112.78208,1
2881,4063,0,0,56.27611,-117.82119,1
2881,4136,0,0,54.18052,-110.30494,1
2881,33002,0,0,47.7825805,-116.6672685,1
2881,33018,0,0,43.7258179,-115.951094,1
2881,33020,0,0,43.4619319,-113.5630006,1
2881,33023,0,0,42.8131415,-116.6394012,1
2881,33025,0,0,42.3311564,-114.2794532,1
2881,33128,0,0,42.9613154,-111.7185508,1
2881,33208,0,0,45.3420792,-115.9475939,1
2881,33212,0,0,44.9600847,-115.4933479,1
2881,33217,0,0,43.1584349,-116.5088281,1
2881,33218,0,0,43.4135132,-115.3610245,1
2881,34001,0,0,42.2101956,-90.0603721,1
2881,34002,0,0,42.1593177,-89.3321502,1
2881,34003,0,0,42.0711057,-89.0756312,1
2881,34020,0,0,40.2137205,-91.1829978,1
2881,34022,0,0,40.6514497,-90.9814019,1
2881,34025,0,0,40.6004653,-89.6657014,1
2881,34065,0,0,42.1401616,-89.7648861,1
2881,34066,0,0,42.3994754,-88.9154674,1
2881,34067,0,0,41.3410603,-90.5307719,1
2881,34071,0,0,40.3045239,-90.1357207,1
2881,34302,0,0,42.4617907,-89.3817229,1
2881,34304,0,0,41.0847167,-90.9006359,1
2881,36001,0,0,40.7698922,-91.6797963,1
2881,36002,0,0,40.6527332,-92.8864804,1
2881,36006,0,0,41.9751747,-90.2964159,1
2881,36015,0,0,41.4483667,-95.7265309,1
2881,36028,0,0,42.4902437,-96.3743819,1
2881,38028,0,0,39.9000807,-96.8711409,1
2881,38030,0,0,39.9367553,-97.0124144,1
2881,38317,0,0,39.7839097,-95.2272709,1
2881,45101,0,0,49.44727,-95.40772,1
2881,45213,0,0,50.44475,-96.55677,1
2881,45220,0,0,50.84552,-100.90475,1
2881,50001,0,0,43.8139858,-91.6904455,1
2881,50008,0,0,44.6596006,-93.3337301,1
2881,50009,0,0,44.9718866,-93.4716124,1
2881,50015,0,0,45.6049323,-93.8828669,1
2881,50043,0,0,47.5136293,-96.6336288,1
2881,50065,0,0,45.5994247,-95.2156759,1
2881,52131,0,0,39.7131417,-94.0662299,1
2881,53013,0,0,47.2997227,-115.1044549,1
2881,53015,0,0,47.1824757,-113.9489899,1
2881,53019,0,0,47.7874097,-109.4150839,1
2881,53027,0,0,46.6205137,-112.4949499,1
2881,53064,0,0,47.0312302,-114.3938692,1
2881,53087,0,0,45.5347235,-113.0794573,1
2881,54007,0,0,40.6406757,-98.8760679,1
2881,54012,0,0,41.1764063,-96.1391528,1
2881,54022,0,0,42.1915702,-96.7354923,1
2881,54031,0,0,42.6521647,-100.5366606,1
2881,54041,0,0,42.2888847,-100.5364229,1
2881,61097,0,0,44.4354227,-75.0557089,0
2881,64001,0,0,46.1531849,-97.6746757,1
2881,64044,0,0,48.8496871,-100.2489187,1
2881,65020,0,0,45.65198,-63.9122,1
2881,65117,0,0,45.29564,-63.44884,1
2881,68006,0,0,43.55513,-79.76023,1
2881,68007,0,0,43.09018,-80.85084,1
2881,68012,0,0,44.26177,-76.7748,1
2881,68014,0,0,44.0782,-77.37166,1
2881,68015,0,0,44.35414,-77.00984,1
2881,68018,0,0,44.72102,-79.64115,1
2881,68026,0,0,45.50222,-77.74688,1
2881,68113,0,0,44.845,-76.36333,1
2881,68117,0,0,44.2882,-78.07563,1
2881,68119,0,0,44.33161,-79.18377,1
2881,68203,0,0,42.94872,-81.65363,1
2881,68209,0,0,43.3777,-81.15629,1
2881,68216,0,0,44.26666,-77.36666,1
2881,68225,0,0,45.4745,-76.11583,1
2881,68308,0,0,43.38382,-80.22835,1
2881,69021,0,0,43.1649665,-120.6637819,1
2881,69022,0,0,43.3390029,-119.696796,1
2881,69029,0,0,42.6688651,-120.793358,1
2881,69203,0,0,45.2220066,-121.3798835,1
2881,69211,0,0,44.6282948,-121.0586193,1
2881,69238,0,0,44.3919161,-121.5215586,1
2881,69252,0,0,42.8675627,-121.8315359,1
2881,69253,0,0,42.0624827,-120.1599889,1
2881,76001,0,0,45.55411,-76.11098,1
2881,76302,0,0,45.52493,-75.85907,1
2881,79130,0,0,52.66722,-104.23693,0
2881,81023,0,0,45.8541675,-99.2629045,1
2881,81030,0,0,44.2125557,-101.3067249,1
2881,81041,0,0,44.3721307,-101.1351779,1
2881,89005,0,0,48.3550687,-120.2118449,1
2881,89019,0,0,46.6387037,-121.3902819,0
2881,89029,0,0,48.5091787,-120.1732639,1
2881,89036,0,0,47.5534987,-120.6802069,1
2881,89049,0,0,48.2516757,-120.1583639,1
2881,89079,0,0,46.8066477,-122.4157869,0
2881,91009,0,0,45.0280407,-92.7478269,1
2881,91010,0,0,45.3718767,-92.6673889,1
2881,91012,0,0,45.5969217,-92.2379749,1
2881,91013,0,0,45.5385417,-91.8894659,1
2881,91031,0,0,44.6509917,-92.4279399,1
2881,91042,0,0,44.7766037,-89.2453309,1
2881,91044,0,0,44.4254667,-88.9513789,1
2881,91047,0,0,44.6191537,-88.7788779,1
2881,91048,0,0,44.0520617,-87.7016689,1
2881,91049,0,0,44.5887327,-87.6425339,1
2881,91052,0,0,43.3269947,-90.7422119,1
2881,91054,0,0,43.7857987,-90.3552409,1
2881,91055,0,0,43.4457507,-89.8669289,1
2881,91057,0,0,43.9129677,-89.1280059,1
