"stateroute","mat.point","mat.mean","mat.var","elev.point","elev.mean","elev.var","map.point","map.mean","map.var","ndvi.mean"
2001,152,151.754901960784,10.8901654411765,204,207.529411764706,1102.13970588235,116.833333333333,118.029411764706,1.89491421568628,0.7914
2002,154.5,153.730392156863,2.26174428104575,208,200.470588235294,364.264705882353,119.416666666667,118.691176470588,2.3609068627451,0.782210848535102
2004,154.416666666667,156.156862745098,11.5667381535948,215,198.823529411765,2243.02941176471,122.333333333333,121.686274509804,2.96226511437909,0.813651956181534
2005,154.25,153.578703703704,4.42440541031228,258,263.611111111111,1037.19281045752,118.583333333333,119.648148148148,1.73738198983297,0.807392187710098
2006,155,152.810185185185,2.39689996368918,184,232.833333333333,1293.79411764706,117.833333333333,119.361111111111,1.71977124183007,0.788118424377555
2007,141.833333333333,146.053921568627,21.594566993464,385,302.470588235294,5431.13970588235,124.333333333333,121.637254901961,8.86106004901961,0.817139218670725
2008,156.583333333333,154.519607843137,7.45271650326797,180,238.823529411765,2485.27941176471,118,118.161764705882,2.36499183006536,0.812507668231612
2009,150.833333333333,150.537037037037,19.5255083514887,280,284.5,4556.02941176471,119.416666666667,119.731481481481,3.89996368917937,0.796208554750403
2010,155.583333333333,160.573529411765,13.3419117647059,328,247.823529411765,2904.65441176471,123.916666666667,121.573529411765,3.08323120915032,0.829938497652582
2011,156.333333333333,156.175925925926,10.8553013798112,271,265.555555555556,3542.96732026144,118.75,119.013888888889,5.2126225490196,0.822180630630631
2012,156.333333333333,156.188596491228,10.2552794022092,271,267.421052631579,3412.25730994152,118.75,119.228070175439,5.79463125406107,0.821019248826291
2013,160.583333333333,157.980392156863,9.53344566993463,178,221.764705882353,1828.56617647059,115.75,117.661764705882,2.55249183006535,0.81175917989418
2014,163.916666666667,163.708333333333,7.44219771241829,214,192.055555555556,1286.52614379085,119.583333333333,119.055555555556,1.66258169934641,0.797852146696605
2015,161.833333333333,161.736111111111,6.81719771241829,161,181.111111111111,1654.57516339869,119,119.861111111111,1.90359477124184,0.803697128642502
2016,154.833333333333,156.656862745098,10.0146548202614,184,165.764705882353,760.316176470588,125.416666666667,124.578431372549,1.28947099673202,0.827380600118835
2017,163.416666666667,163.662037037037,4.07554920116193,143,168.388888888889,812.486928104575,120.916666666667,120.703703703704,3.34576978939724,0.802507647476901
2019,166,165.19298245614,10.0262751786874,94,92.2105263157895,588.842105263158,119.416666666667,120.197368421053,8.34815627030539,0.814432850241546
2020,176.833333333333,176.142156862745,2.74024714052288,74,81.6470588235294,939.242647058824,124.416666666667,123,4.88802083333334,0.830740952380952
2021,177.25,176.635416666667,1.44710648148148,43,54.25,160.466666666667,119.083333333333,118.515625,5.53631365740741,0.825076811594203
2022,177.166666666667,176.901960784314,7.4498570261438,54,73.2352941176471,589.816176470588,113.75,114.68137254902,7.10350285947712,0.804601877934272
2023,173.583333333333,173.049019607843,2.77522467320261,79,74.9411764705882,531.433823529412,116.25,116.769607843137,1.7765012254902,0.810182380952381
2024,179.416666666667,179.245098039216,1.00648488562091,113,101,883.375,113.166666666667,113.357843137255,4.98243464052287,0.807946666666667
2025,175.583333333333,173.814814814815,19.9685911401598,118,126.055555555556,1664.52614379085,116.25,116.194444444444,11.2165032679739,0.791702857142857
2026,173,173.421568627451,27.7208946078431,127,126.529411764706,2444.38970588235,117.75,116.460784313725,15.4714562908497,0.786893719806763
2027,176.25,175.774509803922,8.04753880718956,125,126.882352941176,1037.23529411765,112.083333333333,112.583333333333,12.4583333333333,0.812102857142857
2028,167.5,167.81862745098,9.48718341503268,212,218.411764705882,494.007352941176,115,114.852941176471,17.0968137254902,0.812413425925926
2029,180.583333333333,179.754901960784,3.72870710784314,89,116.823529411765,391.904411764706,105.25,105.274509803922,11.6412888071895,0.802280676328502
2030,187.166666666667,186.9375,3.7800925925926,94,94.9375,299.129166666667,112.083333333333,114.520833333333,4.37083333333333,0.757999019607843
2031,190.75,191.101851851852,2.06826434277414,57,56.2777777777778,278.330065359477,115.25,116.648148148148,7.46940813362381,0.754298529411765
