"AOU","rmse_occ_notrans","rmse_pres_notrans","rmse_gam_notrans","rmse_gam_pres_notrans","rmse_rf_notrans","rmse_rf_pres_notrans","rmse_me_pres_notrans"
2881,0.149459399679564,0.240257241841744,0.0847287799382918,0.00265068560107716,0.143198571408059,0.248344888362237,0.423615330878008
2890,0.261585299340787,0.319712460695624,0.189694800480253,0.268360621696772,0.219436797428334,0.301248968425539,0.358659665180391
3000,0.147427163232817,0.279211997309978,0.112804017125562,0.236954654300571,0.145295317489297,0.280908085279811,0.393301595836094
3120,0.197471150256752,0.291233073496318,0.0482955766254342,0.201325964955124,0.236252345713143,0.346018461177718,0.304078158194715
3160,0.14742291265158,0.163973609306002,0.111571389954626,0.132276162123422,0.143394247075543,0.164512488628951,0.373724961875669
3190,0.285957414116539,0.395890416248752,0.0814854796734045,0.000831066340173316,0.319758574687767,0.463090617942143,0.425896583588728
3250,0.263401824308727,0.384833342976063,0.224580477402598,0.340433295263833,0.238284008863536,0.359002252558567,0.393267708908508
3390,0.202883560941589,0.317767048090207,0.168903220916995,0.298946734628365,0.188552481577901,0.309626101819332,0.321613571513393
3850,0.23808342910686,0.404058457103659,0.0836754962604162,0.309056265526459,0.239507883836183,0.441324901065152,0.377447295476901
3870,0.236604796966586,0.361109235778114,0.161520547847182,0.27342314891743,0.17960929198407,0.319040483431368,0.36637306510407
3880,0.176175758732189,0.349440517569174,0.140272904352258,0.302247905691467,0.159242286638786,0.334026232522869,0.348422761479839
3930,0.26987977978936,0.451083228851202,0.236657309964811,0.411516818598197,0.242528531159546,0.425563656971524,0.431435591887132
3940,0.225527223985122,0.297133923728597,0.195200301821585,0.261812982879922,0.207236045811338,0.281412184708686,0.347536984393642
3960,0.334031083158792,0.453640212847462,0.100301449463324,1.69068716689901e-06,0.351001789774503,0.470589311917832,0.399706944884514
4020,0.295896799670351,0.369008566991881,0.184774566146798,0.302203104854283,0.258317089101585,0.353855195780474,0.374003976043223
4021,0.249342710764074,0.347582717577483,0.0797684211873173,0.2868164388125,0.281703393361629,0.39488569150125,0.349866260680142
4050,0.287393709311759,0.405363990882599,0.251820553968495,0.364852170369533,0.252426505039185,0.380476196340379,0.418393467083627
4060,0.266077252679542,0.384602050728389,0.210142847381284,0.337694016677002,0.225024858723327,0.348331016219835,0.362428540070254
4090,0.197203096058887,0.23086400894148,0.138710627937158,0.187385923324757,0.166343219171831,0.212521045190826,0.370007783520434
4120,0.262645560345246,0.314233221936223,0.199295274989861,0.253223875875446,0.214828244764914,0.289719200812264,0.377296368461698
4230,0.273077249363337,0.326970117736927,0.221267077963844,0.283747286247755,0.242354142266573,0.303819180075432,0.373348362398533
4250,0.238227571230705,0.358159415848279,0.19892804380549,0.356766454411954,0.266129687071823,0.399930979122286,0.547923256450536
4280,0.264906670698106,0.452816548632059,0.228543852958811,0.411122634037039,0.243473478714563,0.429754812653158,0.435553087169755
4290,0.260521806552117,0.427611339699887,0.162129772374583,0.36609079313205,0.253432738393104,0.448226733336114,0.438666871835936
4320,0.262573944474401,0.320463942368391,0.074208633558449,0.000202890606474152,0.342783448529528,0.409084990840454,0.363737418326999
4330,0.223059353291502,0.335746404088909,0.0719575916872858,0.179566717856222,0.243121731249382,0.348696001934758,0.327329296041246
4430,0.286548476099349,0.368683532121579,0.0634302112937291,2.75764312201323e-08,0.250915188370986,0.322453823405754,0.351786697993461
4440,0.296027173884163,0.339744348404173,0.243003407835505,0.295366689648829,0.246768782609014,0.30998478204441,0.384829614943836
4470,0.322635748947699,0.389586067062264,0.260186288425661,0.338780312648761,0.30608161370531,0.388349303818056,0.394571748780662
4520,0.251732572174764,0.285333834267808,0.201194235678179,0.242024516598961,0.213823771673297,0.264913550103086,0.38771217209135
4540,0.329009852473042,0.359454836985854,0.130488127240109,1.73401111204122e-06,0.344016193909886,0.380323466625985,0.375919242947499
4560,0.287384362840028,0.317308813818005,0.190212430645088,0.237293508976297,0.212010174258412,0.259339091651757,0.384296505971693
4570,0.300013367029592,0.414891191714802,0.240197543811517,0.354666621283636,0.283808166397735,0.404766967666333,0.401869899182198
4590,0.231861404042482,0.305823477548525,0.195295909852246,0.285666078303556,0.23057765064165,0.315780432670844,0.287939728594113
4610,0.272457771851205,0.310340630342866,0.21122672716189,0.251951085448757,0.23399977040182,0.271661934677314,0.384507944450889
4620,0.296132871787043,0.377999288470957,0.236729832717708,0.332033841346978,0.284267703048565,0.372234167446227,0.385021618752328
4640,0.283826021461201,0.383464980012828,0.0647614030963813,0.000529897757781387,0.319374806085016,0.420309471241068,0.380676124711333
4641,0.311466629289607,0.41025499672534,0.0875854657934179,0.34561195866009,0.356378315725211,0.470904481175037,0.426175546830448
4650,0.337297088173215,0.407906937993484,0.255972778974964,0.341040521790786,0.289924398897512,0.37025004501964,0.365041210188044
4660,0.32410670692625,0.423832061051742,0.262351964101355,0.365667362787384,0.262400407400495,0.360933364532953,0.373943466032175
4661,0.261462761711943,0.32449171237847,0.201555127379463,0.291924353357542,0.271044187724671,0.340491069123687,0.354717657491954
4670,0.274550435842296,0.358281134795451,0.197140064738185,0.293458992461694,0.25028788056191,0.334753146458012,0.362886836736222
4680,0.344710182487367,0.419620258907784,0.217784324108244,0.336666616317968,0.335521581140576,0.411977282010818,0.387479339489174
4690,0.343579882745196,0.411296494113224,0.224175036731323,0.359305279379803,0.331811855849413,0.410637334680263,0.379681918317792
4740,0.378247344947361,0.428318244063295,0.285712276398498,0.345879473680567,0.303566827030815,0.36137790258566,0.380142751206007
4750,0.334805470106229,0.386334335974079,0.220975044030408,0.30507968006302,0.301446408114075,0.369142262631021,0.347063636812811
4770,0.157057214978079,0.186541736917566,0.09198702078056,0.00115087456452257,0.123783978875131,0.164151996294765,0.366617383772704
4780,0.255277279056556,0.344287074315826,0.188577407588269,0.26680736338441,0.282774653400129,0.370909547243483,0.357780105975685
4840,0.280258826658825,0.421089140246883,0.179870482182605,0.35070797405727,0.296857302536281,0.450944193843019,0.428795560696885
4860,0.297009563882696,0.37101257142072,0.237084904971221,0.319928034660106,0.250893978988459,0.344858956775321,0.407675509943266
4880,0.225797102356882,0.254011141459103,0.185279100848889,0.227195460687501,0.208230009105284,0.241975370701276,0.382078321746245
