"Aou","stateroute","occ","presence","latitude","longitude","pred_gam_occ","pres_2016","rescale"
3160,34071,1,1,40.3045239,-90.1357207,0.306712296855159,1,1
3160,34074,1,1,39.2888385,-90.550608,0.29678709383366,1,1
3160,34304,1,1,41.0847167,-90.9006359,0.314318069928292,1,1
3160,34312,1,1,39.8173797,-90.4058819,0.321453825436113,1,1
3160,36001,1,1,40.7698922,-91.6797963,0.299482836231909,1,1
3160,36013,1,1,41.6586017,-94.1444549,0.293309490224414,1,1
3160,36015,1,1,41.4483667,-95.7265309,0.304893301451288,1,1
3160,38006,1,1,37.3190352,-97.349158,0.311271426670597,1,1
3160,38007,1,1,37.2322087,-97.2582029,0.334680305701732,1,1
3160,38016,1,1,38.9939527,-96.9002609,0.321796029055774,1,1
3160,38017,1,1,38.3623234,-96.5605733,0.29920156586629,1,1
3160,38019,1,1,39.0607981,-97.1112208,0.346398464841872,0,1
3160,38021,1,1,38.5515107,-98.0351929,0.330027298200586,1,1
3160,38105,1,1,37.3003447,-96.1012279,0.302531508258773,1,1
3160,38118,1,1,38.9147327,-97.3687519,0.366727179909022,1,1
3160,38302,1,1,37.3690207,-95.4488589,0.293417035285902,1,1
3160,38304,1,1,37.7959759,-97.4634159,0.336417128984629,1,1
3160,38312,1,1,38.2039494,-97.2078887,0.372247967675461,1,1
3160,38317,1,1,39.7839097,-95.2272709,0.302500185125832,1,1
3160,45203,1,1,49.10385,-97.84131,0.301767101189674,1,1
3160,46005,1,1,39.6151476,-78.8123259,0.29886405023821,1,1
3160,46037,1,1,39.10312,-76.192383,0.317843887146814,1,1
3160,46040,1,1,38.7863193,-76.075195,0.299971185681242,1,1
3160,46042,1,1,38.3676908,-76.2432656,0.304095350308268,1,1
3160,46043,1,1,38.5258637,-76.2101023,0.326915797179691,1,1
3160,46123,1,1,38.9888945,-76.6695275,0.296886690721983,1,1
3160,46126,1,1,38.5019497,-76.5743599,0.326371932926201,1,1
3160,50015,1,1,45.6049323,-93.8828669,0.299704678371426,1,1
3160,50043,1,1,47.5136293,-96.6336288,0.348869290308612,1,1
3160,50064,1,1,45.2573787,-94.8259589,0.369855015526397,1,1
3160,50065,1,1,45.5994247,-95.2156759,0.336368802442305,1,1
3160,52004,1,1,36.857026,-92.5003493,0.31565084488725,1,1
3160,52010,1,1,37.3759607,-91.5529269,0.329326336980886,1,1
3160,52011,1,1,37.9039787,-91.4239279,0.316119267796426,1,1
3160,52014,1,1,37.4542087,-93.513291,0.29430570597559,1,1
3160,52054,0.933333333333333,1,36.6429207,-92.9744729,0.306918854323782,1,1
3160,52109,1,1,37.6701567,-90.6467484,0.311221443160766,0,1
3160,59019,1,1,41.1181687,-74.7967659,0.310449861666752,1,1
3160,59021,1,1,41.3073947,-74.6772749,0.338148253348383,1,1
3160,60013,1,1,34.6383511,-108.4498979,0.293174898227902,1,1
3160,60027,1,1,32.3802337,-106.7294539,0.293342206496893,1,1
3160,60052,1,1,36.4327042,-107.4794163,0.358881542415152,1,1
3160,61022,1,1,42.4363317,-74.1520169,0.324373093822399,1,1
3160,61029,1,1,42.5686667,-75.1557779,0.313617154187691,1,1
3160,61031,1,1,42.3180237,-75.5570359,0.355033733618931,1,1
3160,61034,1,1,42.4378997,-75.0998799,0.30675749432305,1,1
3160,61045,1,1,42.2779527,-77.9436889,0.360955023256388,1,1
3160,61056,1,1,42.2769437,-78.8989789,0.40343923881708,1,1
3160,61057,1,1,42.5957057,-78.3611669,0.373458789990525,1,1
3160,61059,1,1,42.0548007,-78.9408579,0.384330085199161,1,1
3160,61111,1,1,42.0836187,-78.5902949,0.349621734795622,1,1
3160,61123,1,1,42.5913477,-74.9252479,0.297550026040628,1,1
3160,64008,1,1,47.9619307,-97.4077439,0.337226715542588,1,1
3160,66021,1,1,41.6803821,-80.7420743,0.294309191837222,1,1
3160,67011,1,1,35.8426817,-94.8876259,0.314318201414882,1,1
3160,67022,1,1,36.9292257,-94.6982489,0.296397440744599,1,1
3160,67023,1,1,36.9173437,-95.1256319,0.292931594990914,1,1
3160,67051,0.933333333333333,1,34.5280637,-94.9309459,0.381728570893712,1,1
3160,67065,1,1,36.7524787,-96.3635719,0.309122363091156,1,1
3160,72002,1,1,41.6375228,-80.4945401,0.335622505133825,1,1
3160,72004,1,1,41.7146604,-80.3204561,0.352324278375166,1,1
3160,72006,1,1,41.5335247,-79.3470999,0.39886744516192,1,1
3160,72009,1,1,41.2987587,-79.0916519,0.368630853040854,1,1
3160,72010,1,1,41.6359508,-79.0433273,0.393419763516362,1,1
3160,72012,1,1,41.3997727,-79.2031479,0.385273769705873,1,1
3160,72013,1,1,41.1631773,-78.0649572,0.384216481598416,1,1
3160,72015,1,1,41.6864267,-78.3955159,0.340881128547343,1,1
3160,72016,1,1,41.5603287,-78.8505629,0.362256279130338,1,1
3160,72017,1,1,41.4207597,-78.7387779,0.354206328416883,1,1
3160,72021,1,1,41.2725507,-77.2415709,0.380467968569318,1,1
3160,72023,1,1,41.553018,-77.9672237,0.380755117742218,1,1
3160,72025,1,1,41.0712247,-77.2939995,0.340457113168661,1,1
3160,72029,1,1,41.3121387,-76.6638159,0.360061653949453,1,1
3160,72031,1,1,41.7460317,-76.0235889,0.362331639788238,0,1
3160,72033,1,1,41.9588688,-76.0658601,0.350468793771435,1,1
3160,72034,1,1,41.4410897,-76.9073399,0.391226750695461,1,1
3160,72035,1,1,41.2289,-76.4559998,0.349793673287076,1,1
3160,72036,1,1,41.1152527,-76.4792479,0.328373995000835,1,1
3160,72047,1,1,40.1607284,-80.3456272,0.292652901312977,1,1
3160,72049,1,1,40.6243617,-79.2376019,0.325312784503638,1,1
3160,72050,1,1,40.8479343,-79.5569899,0.33646278521554,1,1
3160,72052,1,1,40.4897627,-79.4811859,0.307751186217677,1,1
3160,72053,1,1,40.9651065,-79.7089598,0.341814494498726,1,1
3160,72054,1,1,40.6673234,-79.2349941,0.329283815234156,1,1
3160,72056,1,1,40.8006168,-79.3662002,0.339692126927979,1,1
3160,72057,1,1,40.4757717,-78.9943469,0.293183141131379,1,1
3160,72060,1,1,40.9149712,-78.0608234,0.367737699925762,1,1
3160,72061,1,1,40.428119,-78.203532,0.319794398963348,1,1
3160,72062,1,1,40.4467888,-78.339499,0.321356998339146,1,1
3160,72063,1,1,40.7309987,-78.2178879,0.351407553644322,1,1
3160,72064,1,1,40.5712157,-78.1386279,0.332849757677118,1,1
3160,72071,1,1,40.6956947,-77.8942099,0.335216185876523,1,1
3160,72088,1,1,39.9302972,-80.0595075,0.296369408467325,1,1
3160,72107,1,1,41.9931298,-79.1534323,0.396096724679367,1,1
3160,72126,1,1,41.4517767,-77.2775949,0.411901824343516,1,1
3160,72132,1,1,41.546735,-76.9628251,0.399402506769716,1,1
3160,72151,1,1,40.3748197,-79.5781489,0.296276313333899,1,1
3160,72155,1,1,40.1983067,-79.2656249,0.292563324498356,1,1
3160,80018,1,1,34.6616003,-83.2805093,0.325409590846458,1,1
3160,83273,1,1,33.3677874,-96.0651288,0.298265087685037,1,1
3160,88029,1,1,37.6595013,-76.341428,0.314795869657062,NA,1
3160,90037,1,1,39.9139422,-80.7304852,0.303075587486153,1,1
3160,91012,1,1,45.5969217,-92.2379749,0.31857529779182,1,1
3160,91013,1,1,45.5385417,-91.8894659,0.322535014562384,1,1
3160,91014,1,1,45.3129597,-91.4793629,0.302410768033686,1,1
3160,91015,1,1,45.8737727,-91.2353139,0.294414409408169,1,1
3160,91016,1,1,45.7114417,-91.1942679,0.307599374908647,1,1
3160,91017,1,1,45.1410957,-90.7920749,0.308276430808361,1,1
3160,91020,1,1,45.3240447,-90.0875099,0.298984295879316,1,1
3160,91022,1,1,45.3150927,-89.6369409,0.300737641790352,1,1
3160,7029,0,0,36.4053037,-94.1100149,0.309347022124812,0,1
3160,7030,0,0,36.329802,-94.303299,0.303120381347058,0,1
3160,7031,0,0,36.394077,-93.472462,0.312021547532819,1,1
3160,7038,0,0,35.939336,-92.442323,0.302091709778225,1,1
3160,7039,0,0,35.075027,-93.68179,0.295927854664246,1,1
3160,7049,0,0,35.615095,-94.344402,0.309781740738452,1,1
3160,14039,0,0,34.3571317,-119.3142549,0.300527097740131,0,1
3160,14045,0,0,33.7909207,-118.2918089,0.315273523003041,0,1
3160,14057,0,0,35.2565319,-120.8880009,0.306315771394562,0,1
3160,14081,0,0,39.1612277,-123.5822599,0.312357079885446,0,1
3160,14114,0,0,34.7375727,-120.2354279,0.328435271528357,0,1
3160,14172,0,0,37.8183531,-122.1464708,0.304142648043122,1,1
3160,14194,0,0,37.2115267,-122.1565019,0.396152777214664,1,1
3160,14195,0,0,36.257393,-121.4234494,0.385546054181936,1,1
3160,14202,0,0,38.3795127,-122.5143889,0.388339921486713,0,1
3160,14302,0,0,38.3796305,-122.5109615,0.38741308132493,1,1
3160,14345,0,0,33.7909207,-118.2918,0.315273523003041,1,1
3160,17022,0,0,37.5181967,-108.5355759,0.301050190614521,0,1
3160,17122,0,0,37.5166544,-108.4645163,0.37076221208851,0,1
3160,17354,0,0,40.0205912,-105.2961672,0.31410758670875,0,1
3160,17422,0,0,37.5166544,-108.46451,0.37076221208851,1,1
3160,18007,0,0,41.7771877,-72.1354049,0.298486465990582,1,1
3160,18012,0,0,41.7487967,-73.3502269,0.293636916678533,0,1
3160,18112,0,0,41.7487967,-73.350226,0.293636916678533,1,1
3160,25017,0,0,27.4438745,-82.1186659,0.321079660889952,0,1
3160,25020,0,0,28.3266818,-82.3022052,0.298621546766031,1,1
3160,25023,0,0,28.5723877,-81.9816829,0.337383667401858,0,1
3160,25029,0,0,27.9009147,-81.7191149,0.393388065564205,0,1
