"Aou","stateroute","occ","presence","ALPHA.CODE","latitude","longitude","sp_success","sp_fail","mat.mean","elev.mean","map.mean","ndvi.mean","bio.mean.bio1","bio.mean.bio2","bio.mean.bio3","bio.mean.bio4","bio.mean.bio5","bio.mean.bio6","bio.mean.bio7","bio.mean.bio8","bio.mean.bio9","bio.mean.bio10","bio.mean.bio11","bio.mean.bio12","bio.mean.bio13","bio.mean.bio14","bio.mean.bio15","bio.mean.bio16","bio.mean.bio17","bio.mean.bio18","bio.mean.bio19","pred_glm_pr","pred_glm_occ","pred_gam_pr","pred_gam_occ","pred_rf_occ","pred_rf_pr","max_pred_pres"
6640,6014,1,1,"GRWA",34.6437087,-112.4327389,15,0,129.205882352941,1525.29411764706,37.0833333333333,0.411158215962441,129.505226480836,172.961672473868,46.6585365853659,7162.72822299652,326.087108013937,-40.5644599303136,366.651567944251,219.790940766551,157.578397212544,224.508710801394,42.3693379790941,445.655052264808,74.0696864111498,10.0243902439024,48.3205574912892,177.473867595819,43.5261324041812,147.456445993031,118.912891986063,0.0182580083501839,0.0181552750222909,0.189820416994194,0.686941911839647,1.81265270506108,0.180673758865248,0.55039119720459
6640,17322,1,1,"GRWA",37.8399527,-108.7610769,15,0,73.3970588235294,2154.17647058824,34.8333333333333,0.505643518518519,73.3030303030303,159.841750841751,38.5993265993266,8427.59932659933,290.754208754209,-118.397306397306,409.151515151515,150.148148148148,111.181818181818,183,-34.5858585858586,419.407407407407,47.5454545454545,16.1919191919192,24.993265993266,135.622895622896,72.8080808080808,106.37037037037,95.1111111111111,0.026757613548628,0.0235361795635622,0.148037684847901,0.42557343663393,1.01775956284153,0.0642131979695432,0.65949285030365
6640,17372,1,1,"GRWA",37.4432477,-108.4743579,15,0,63.9074074074074,2362.33333333333,42.3472222222222,0.597972888888889,68.0821917808219,158.366438356164,39.4075342465753,8150.16095890411,279.017123287671,-118.304794520548,397.321917808219,149.417808219178,103.575342465753,174.455479452055,-34.9691780821918,486.02397260274,54.8013698630137,18.2294520547945,24.5034246575342,152.202054794521,80.2054794520548,122.674657534247,117.972602739726,0.169436195622669,0.166447032693289,0.289543176710168,0.993539472310542,1.12021276595745,0.0537037037037037,0.695521891117096
6640,60004,0.866666666666667,1,"GRWA",36.0797837,-105.7975849,13,1.99999999999999,66.8552631578947,2442,38.9780701754386,0.506396846846847,68.2076124567474,167.121107266436,43.6782006920415,7413.2491349481,263.529411764706,-115.550173010381,379.079584775087,157.176470588235,-20.4359861591695,164.141868512111,-26.1107266435986,462.875432525952,81.1730103806228,22.9757785467128,49.9792387543253,201.726643598616,72.1141868512111,191.878892733564,73.4083044982699,0.239660882026986,0.212423525748709,0.690210127316647,0.85174872954826,2.47026315789473,0.177106227106227,0.709155857563019
6640,60022,0.933333333333333,1,"GRWA",33.6891907,-105.8493706,14,1,117.231481481481,1878.5,30.5648148148148,0.372664788732394,116.147887323944,168.535211267606,45.9366197183099,7249.30985915493,301.961267605634,-61.0739436619718,363.035211267606,200.81338028169,67.6830985915493,210.640845070423,24.5176056338028,369.654929577465,76.080985915493,11.4014084507042,68.0211267605634,194.5,46.1338028169014,178.306338028169,54.2429577464789,0.221082879689847,0.201251987217267,0.565921572082504,0.696193800398745,1.66057142857143,0.171027131782946,0.611408829689026
6640,60028,0.933333333333333,1,"GRWA",32.9576087,-105.7457016,14,1,113.092592592593,2004.22222222222,36.1157407407407,0.452734246575342,112.564285714286,153.435714285714,45.9428571428571,6642.41428571429,279.885714285714,-50.2857142857143,330.171428571429,188.839285714286,98.5321428571429,198.335714285714,28.3607142857143,437.15,90.1642857142857,10.7392857142857,68.2678571428571,230.235714285714,50.1142857142857,210.457142857143,71.6571428571429,0.463341522596044,0.458278499509165,0.766375501840506,0.999609554560179,2.06593001841621,0.164504504504504,0.633343398571014
6640,60057,0.6,1,"GRWA",35.2921949,-108.9107183,9,6,91.9907407407407,2072.33333333333,26.3564814814815,0.306846396396396,91.8736842105263,178.463157894737,44.3964912280702,7902.23859649123,299.245614035088,-98.3017543859649,397.547368421053,188.828070175439,127.638596491228,195.056140350877,-7.82105263157895,317.431578947368,54.1929824561403,10.8631578947368,48.3684210526316,134.856140350877,37.5017543859649,113.666666666667,64.680701754386,0.0686918099899356,0.0502784129678013,0.019127390784699,0.000232471182114156,4.21884749357559e-15,-1.80411241501588e-16,0.645229697227478
6640,60069,1,1,"GRWA",33.644134,-108.7910908,15,0,79.6323529411765,2212.41176470588,39.2745098039216,0.493364351851852,79.2173913043478,199.336956521739,52.1702898550725,6682.35869565217,274.710144927536,-103.717391304348,378.427536231884,162.057971014493,107.731884057971,167.31884057971,-3.72826086956522,477.423913043478,90.8949275362319,13.3007246376812,62.4094202898551,235.394927536232,46.8586956521739,197.228260869565,95.5471014492754,0.069644630385216,0.0619669023548303,0.165996302157207,0.973116296605096,1.10735294117647,0.0523316062176166,0.669617056846619
6640,60070,0.866666666666667,1,"GRWA",33.5104187,-107.2197419,13,1.99999999999999,129.299019607843,1689.35294117647,23.6617647058824,0.246444927536232,129.465949820789,180.835125448029,47.0752688172043,7415.1541218638,321.749103942652,-58.2974910394265,380.046594982079,215.888888888889,88.3405017921147,225.767025089606,35.1899641577061,283.487455197133,62.0071684587814,6.81720430107527,77.1792114695341,162.301075268817,24.831541218638,134.31541218638,36.5770609318996,0.127628149169759,0.10335142891864,0.159010374009756,0.847034665345887,0.888020833333333,0.0417127071823203,0.578565239906311
6640,60078,0.666666666666667,1,"GRWA",32.5687748,-105.5729156,10,5,130.600877192982,1754.68421052632,29.8859649122807,0.31538137254902,127.613718411552,160.494584837545,46.5631768953069,6727.80505415162,299.018050541516,-42.043321299639,341.061371841155,204.245487364621,93.1552346570397,214.447653429603,41.8953068592058,369.84476534296,75.3646209386282,8.62815884476534,69.4873646209386,196.512635379061,37.2057761732852,178.447653429603,53.7797833935018,0.173442731000602,0.15294962815515,0.51632228850919,0.560458421430118,1.12578268876611,0.0674897119341564,0.589875996112823
